dominio,categoria,entita,prompt,is_prompt_missing,is_prompt_vuoto,ha_markup,ha_tab,ha_newline,ha_carriage_return,ha_unicode_invisibile
gender,American_actors,Steve_Zissis,"Steve Zissis
is an American actor, screenwriter and ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Will_Sampson,"The Aboriginal Multi-Media Society
Will Sampson at Find ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Fred_Thompson,"According to the Memphis Commercial Appeal:

Fred Thompson ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Colm_Feore,"Colm Feore on IMDb
Colm Feore at the ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Paul_Fix,"Paul Fix at Memory Alpha
Paul Fix at ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,F._Murray_Abraham,"Movies Biography
F. Murray Abraham at IMG ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Fred_Allen,"by Joe McCarthy, Fred Allen's Letters
Allen, Fred, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Roscoe_Orman,"Roscoe Orman on IMDb
Roscoe Orman at the ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Robert_Osborne,"Cinema Retro interview with Robert Osborne
Gilbert Gottfried's ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Dick_Van_Dyke,"— PDF Article
Dick Van Dyke -Disney Legends profile
Dick ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Reginald_VelJohnson,"TV
Reginald VelJohnson at the Internet Broadway Database
Reginald ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Robert_Wagner,"Movies
Robert Wagner   on Charlie Rose
Works ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Johnnie_Ray,"Johnnie Ray interviewed on the Pop Chronicles
1956 ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Christopher_Reeve,"– Newsweek
""Christopher Reeve has become an instant ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Christopher_Reeve,"Christopher Reeve Homepage
Reeve, Christopher Nothing is Impossible, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Dan_Resin,"on YouTube
Dan Resin obituary
Review of Hail
Dan Resin ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Fayard_Nicholas,"Fayard Nicholas at Find a Grave
Fayard Nicholas ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Chuck_Norris,"The Chuck Norris Fitness System
The Secret of ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Harry_Northup,"Cahuenga Press
Bio Sketch
Video of Harry Northup reading ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Mark_Indelicato,"Mark Indelicato on IMDb
From Broadway World
BroadwayWorld.com interview ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Chris_Isaak,"Chris Isaak discography at Discogs  
Chris ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Ricky_Jay,"Ricky Jay & His 52 Assistants
Ricky Jay: ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Penn_Jillette,"(1982) by Various / Penn Jillette
Captain Howdy, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Ron_Balicki,"8, by: Ron Balicki, ""Insiders""
""El Budoka"", 1996, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Steve_Barton,"http://www.ovrtur.com/biography/10128888
Steve Barton A Life Dedicated to the ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Sean_Kanan,"TV
Sean Kanan Talks About His Restless ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Kurt_Kasznar,"Kurt Kasznar on IMDb
Kurt Kasznar biography, actordatabase.com; ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
