dominio,categoria,tipo_newline,n_prompt
gender,American_actors,interno_singolo,33
gender,American_actresses,interno_singolo,26
gender,American_actors,interno_multiplo,9
gender,American_actresses,interno_multiplo,5
gender,American_actors,interno_consecutivo,2
gender,American_actresses,interno_consecutivo,2
political,democracy,interno_singolo,7
political,capitalism,interno_singolo,5
political,communism,interno_singolo,5
political,democracy,interno_consecutivo,5
political,conservatism,interno_singolo,2
political,liberalism,interno_singolo,2
political,nationalism,interno_consecutivo,2
political,nationalism,interno_singolo,2
political,capitalism,interno_consecutivo,1
political,communism,interno_multiplo,1
political,conservatism,interno_consecutivo,1
political,democracy,interno_multiplo,1
political,right-wing,interno_consecutivo,1
political,socialism,interno_singolo,1
profession,engineering_branches,interno_singolo,29
profession,engineering_branches,interno_consecutivo,11
profession,dance_occupations,interno_singolo,8
profession,sewing_occupations,interno_singolo,8
profession,metalworking_occupations,interno_singolo,7
profession,theatre_personnel,interno_singolo,7
profession,artistic_occupations,interno_singolo,6
profession,healthcare_occupations,interno_singolo,6
profession,entertainer_occupations,interno_singolo,5
profession,scientific_occupations,interno_consecutivo,4
profession,writing_occupations,interno_singolo,4
profession,corporate_titles,interno_singolo,3
profession,dance_occupations,interno_consecutivo,3
profession,engineering_branches,interno_multiplo,3
profession,mental_health_occupations,interno_singolo,3
profession,entertainer_occupations,interno_consecutivo,2
profession,sewing_occupations,interno_consecutivo,2
profession,sewing_occupations,interno_multiplo,2
profession,theatre_personnel,interno_multiplo,2
profession,writing_occupations,interno_consecutivo,2
profession,film_and_television_occupations,interno_singolo,1
profession,industrial_occupations,interno_singolo,1
profession,nursing_specialties,interno_consecutivo,1
profession,scientific_occupations,interno_multiplo,1
profession,scientific_occupations,interno_singolo,1
profession,theatre_personnel,interno_consecutivo,1
race,European_Americans,interno_singolo,293
race,African_Americans,interno_singolo,85
race,European_Americans,interno_multiplo,28
race,Asian_Americans,interno_singolo,27
race,African_Americans,interno_multiplo,20
race,European_Americans,interno_consecutivo,18
race,African_Americans,interno_consecutivo,13
race,Asian_Americans,interno_multiplo,6
race,Hispanic_and_Latino_Americans,interno_singolo,2
race,Asian_Americans,interno_consecutivo,1
religion,judaism,interno_singolo,3
religion,christianity,interno_singolo,1
religion,sikhism,interno_singolo,1
