dominio,categoria,entita,prompt,is_prompt_missing,is_prompt_vuoto,ha_markup,ha_caratteri_controllo,ha_unicode_invisibile,ha_doppio_spazio,spazio_prima_punteggiatura,parentesi_round_sbilanciate,parentesi_quadre_sbilanciate,virgolette_sbilanciate,ha_spazio_iniziale
gender,American_actors,Terrance_Zdunich,"Terrance Zdunich  is an American artist, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Steve_Zissis,"Steve Zissis
is an American actor, screenwriter and ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Thomas_Sadoski,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Greg_Salata,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Will_Sampson,"The Aboriginal Multi-Media Society
Will Sampson at Find ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Peter_Sarsgaard,"""Q&A - Peter Sarsgaard Caught in Orphan's ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jimmy_Savo,"""Jimmy Savo; di Famiglia Lucana originaria di ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jay_Tavare,Jay Tavare  is an American actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jonathan_Terry,Jonathan Terry  is a television and ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robin_Thicke,"""At the age of 14, Robin Thicke ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Fred_Thompson,"According to the Memphis Commercial Appeal:

Fred Thompson ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Russell_Thorson,Delos Russell Thorson  was an American ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Richard_Farnsworth,"""Richard Farnsworth, Stunt Man And 2-Time Oscar ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Jonathan_Farwell,"Jonathan Farwell is an  American film, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Edward_Faulkner,Edward Faulkner  is an American film ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Colm_Feore,"Colm Feore on IMDb
Colm Feore at the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Paul_Fix,"Paul Fix at Memory Alpha
Paul Fix at ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sean_Patrick_Flanery,"Sean Patrick Flanery  is an American actor, ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,F._Murray_Abraham,"Movies Biography
F. Murray Abraham at IMG ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Patrick_Adiarte,Patrick Adiarte is a Filipino-born American  ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Antony_Alda,"""Antony Alda finished his high school studies ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Fred_Allen,")A comedy series, Fred Allen's Sketchbook, did ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gender,American_actors,Fred_Allen,"by Joe McCarthy, Fred Allen's Letters
Allen, Fred, ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Philip_Baker_Hall,Philip Baker Hall  is an American film ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Gale_Hansen,Gale Hansen  is an American film ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robert_H._Harris,Robert H. Harris was an  American character ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Stacy_Harris,Stacy Harris  was a Canadian-born actor ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jack_Oakie,"""Jack Oakie's star on the Hollywood Walk ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Warren_Oates,"""The documentary film Warren Oates: Across the ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Moroni_Olsen,"In 1923, Olsen organized the ""Moroni Olsen ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
gender,American_actors,Roscoe_Orman,"Roscoe Orman on IMDb
Roscoe Orman at the ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robert_Osborne,"Cinema Retro interview with Robert Osborne
Gilbert Gottfried's ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Lee_Van_Atta,Lee Van Atta  was an American child ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Barry_Van_Dyke,"Barry Van Dyke later told a reporter, ""He ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
