"dominio","categoria","entita","n_prompt_entita","totale_categoria","percentuale_su_categoria"
"religion","atheism","Atheism",29,29,100
"religion","sikhism","Sikh",58,90,64.4444444444444
"political","populism","Populism",38,59,64.406779661017
"profession","mental_health_occupations","School_counselor",167,349,47.8510028653295
"religion","islam","Islam",51,109,46.7889908256881
"religion","judaism","Judaism",43,94,45.7446808510638
"political","fascism","Fascism",49,115,42.6086956521739
"religion","buddhism","Buddhism",53,134,39.5522388059701
"political","capitalism","Capitalism",31,88,35.2272727272727
"political","right-wing","Christian_right",28,82,34.1463414634146
"political","left-wing","New_Left",38,113,33.6283185840708
"profession","professional_driver_types","Truck_driver",20,62,32.258064516129
"profession","film_and_television_occupations","Audition",72,245,29.3877551020408
"political","communism","Communism",37,131,28.2442748091603
"political","conservatism","Conservatism",25,92,27.1739130434783
"profession","railway_industry_occupations","Carmen",35,137,25.5474452554745
"religion","hinduism","Hindu_philosophy",3,12,25
"political","liberalism","Liberalism",21,92,22.8260869565217
"race","Hispanic_and_Latino_Americans","Nicky_Jam",23,103,22.3300970873786
"profession","artistic_occupations","Art",91,433,21.0161662817552
"profession","writing_occupations","Blog",86,421,20.4275534441805
"religion","christianity","Churches_of_Christ",33,171,19.2982456140351
"political","anarchism","Anarchism",30,158,18.9873417721519
"profession","industrial_occupations","Arborist",20,107,18.6915887850467
"political","socialism","Socialism",48,259,18.5328185328185
"profession","nursing_specialties","Nursing",54,293,18.4300341296928
"profession","entertainer_occupations","Geisha",75,442,16.9683257918552
"political","democracy","Social_democracy",50,342,14.6198830409357
"political","nationalism","Nationalism",62,453,13.6865342163355
"profession","theatre_personnel","Opera",98,842,11.6389548693587
"profession","computer_occupations","Programmer",22,209,10.5263157894737
"profession","dance_occupations","Dance",63,626,10.0638977635783
"profession","metalworking_occupations","Jewellery",59,625,9.44
"profession","healthcare_occupations","Midwife",50,531,9.41619585687382
"profession","corporate_titles","Supply-chain_management",9,99,9.09090909090909
"profession","scientific_occupations","Number",63,824,7.64563106796117
"profession","sewing_occupations","Glove",58,830,6.98795180722892
"race","Asian_Americans","Guitar_Hero",54,861,6.27177700348432
"profession","engineering_branches","Elevator",141,3120,4.51923076923077
"race","African_Americans","Dr._Dre",48,1854,2.58899676375405
"race","European_Americans","Megadeth",61,4839,1.26059103120479
"gender","American_actresses","Lola_Falana",14,1156,1.21107266435986
"gender","American_actors","Gordon_Parks",19,2048,0.927734375
"gender","American_actors","Ray_J",19,2048,0.927734375
