metric,model_key,domain,category,status,reason,n_records
gender_unigram,qwen3_8b_base,gender,American_actors,not_applicable,domain_outside_scope,10240
gender_unigram,qwen3_8b_base,gender,American_actresses,not_applicable,domain_outside_scope,5780
gender_unigram,qwen3_8b_base,political_ideology,anarchism,not_applicable,domain_outside_scope,790
gender_unigram,qwen3_8b_base,political_ideology,capitalism,not_applicable,domain_outside_scope,440
gender_unigram,qwen3_8b_base,political_ideology,communism,not_applicable,domain_outside_scope,655
gender_unigram,qwen3_8b_base,political_ideology,conservatism,not_applicable,domain_outside_scope,460
gender_unigram,qwen3_8b_base,political_ideology,democracy,not_applicable,domain_outside_scope,1710
gender_unigram,qwen3_8b_base,political_ideology,fascism,not_applicable,domain_outside_scope,575
gender_unigram,qwen3_8b_base,political_ideology,left-wing,not_applicable,domain_outside_scope,565
gender_unigram,qwen3_8b_base,political_ideology,liberalism,not_applicable,domain_outside_scope,460
gender_unigram,qwen3_8b_base,political_ideology,nationalism,not_applicable,domain_outside_scope,2265
gender_unigram,qwen3_8b_base,political_ideology,populism,not_applicable,domain_outside_scope,295
gender_unigram,qwen3_8b_base,political_ideology,right-wing,not_applicable,domain_outside_scope,410
gender_unigram,qwen3_8b_base,political_ideology,socialism,not_applicable,domain_outside_scope,1295
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,anonymization:no_dictionary_match,52
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,anonymization:no_prompt_match,11
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,anonymization:subject_entity_type_unverified,644
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,han_pending_review,101
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,han_pending_review;anonymization:no_dictionary_match,2
gender_unigram,qwen3_8b_base,profession,artistic_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,66
gender_unigram,qwen3_8b_base,profession,artistic_occupations,scored,,1289
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,anonymization:no_dictionary_match,46
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,anonymization:no_prompt_match,10
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,anonymization:subject_entity_type_unverified,318
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,han_pending_review,42
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,han_pending_review;anonymization:no_dictionary_match,9
gender_unigram,qwen3_8b_base,profession,computer_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,37
gender_unigram,qwen3_8b_base,profession,computer_occupations,scored,,583
gender_unigram,qwen3_8b_base,profession,corporate_titles,excluded,anonymization:subject_entity_type_unverified,68
gender_unigram,qwen3_8b_base,profession,corporate_titles,excluded,han_pending_review,19
gender_unigram,qwen3_8b_base,profession,corporate_titles,excluded,han_pending_review;anonymization:subject_entity_type_unverified,7
gender_unigram,qwen3_8b_base,profession,corporate_titles,scored,,401
gender_unigram,qwen3_8b_base,profession,dance_occupations,excluded,anonymization:no_dictionary_match,4
gender_unigram,qwen3_8b_base,profession,dance_occupations,excluded,anonymization:no_prompt_match,1
gender_unigram,qwen3_8b_base,profession,dance_occupations,excluded,anonymization:subject_entity_type_unverified,2560
gender_unigram,qwen3_8b_base,profession,dance_occupations,excluded,han_pending_review,21
gender_unigram,qwen3_8b_base,profession,dance_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,165
gender_unigram,qwen3_8b_base,profession,dance_occupations,scored,,379
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,anonymization:no_dictionary_match,48
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,anonymization:no_prompt_match,12
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,anonymization:subject_entity_type_unverified,14379
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,han_pending_review,15
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,han_pending_review;anonymization:no_dictionary_match,5
gender_unigram,qwen3_8b_base,profession,engineering_branches,excluded,han_pending_review;anonymization:subject_entity_type_unverified,971
gender_unigram,qwen3_8b_base,profession,engineering_branches,scored,,170
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,excluded,anonymization:no_dictionary_match,42
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,excluded,anonymization:no_prompt_match,13
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,excluded,anonymization:subject_entity_type_unverified,429
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,excluded,han_pending_review,150
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,51
gender_unigram,qwen3_8b_base,profession,entertainer_occupations,scored,,1525
gender_unigram,qwen3_8b_base,profession,film_and_television_occupations,excluded,anonymization:subject_entity_type_unverified,585
gender_unigram,qwen3_8b_base,profession,film_and_television_occupations,excluded,han_pending_review,46
gender_unigram,qwen3_8b_base,profession,film_and_television_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,30
gender_unigram,qwen3_8b_base,profession,film_and_television_occupations,scored,,564
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,anonymization:no_dictionary_match,112
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,anonymization:no_prompt_match,70
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,anonymization:subject_entity_type_unverified,5
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,han_pending_review,91
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,han_pending_review;anonymization:no_dictionary_match,6
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,excluded,han_pending_review;anonymization:no_prompt_match,2
gender_unigram,qwen3_8b_base,profession,healthcare_occupations,scored,,2369
gender_unigram,qwen3_8b_base,profession,industrial_occupations,excluded,anonymization:no_dictionary_match,9
gender_unigram,qwen3_8b_base,profession,industrial_occupations,excluded,anonymization:no_prompt_match,1
gender_unigram,qwen3_8b_base,profession,industrial_occupations,excluded,anonymization:subject_entity_type_unverified,132
gender_unigram,qwen3_8b_base,profession,industrial_occupations,excluded,han_pending_review,20
gender_unigram,qwen3_8b_base,profession,industrial_occupations,excluded,han_pending_review;anonymization:subject_entity_type_unverified,8
gender_unigram,qwen3_8b_base,profession,industrial_occupations,scored,,365
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,excluded,anonymization:no_dictionary_match,52
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,excluded,anonymization:no_prompt_match,16
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,excluded,anonymization:subject_entity_type_unverified,5
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,excluded,han_pending_review,47
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,excluded,han_pending_review;anonymization:no_dictionary_match,2
gender_unigram,qwen3_8b_base,profession,mental_health_occupations,scored,,1623
