"model_key","domain","category","text_preparation_status","n_records"
"qwen3_8b_base","gender","American_actors","prepared",10240
"qwen3_8b_base","gender","American_actresses","prepared",5780
"qwen3_8b_base","political_ideology","anarchism","prepared",790
"qwen3_8b_base","political_ideology","capitalism","prepared",440
"qwen3_8b_base","political_ideology","communism","generation_status_not_ok",5
"qwen3_8b_base","political_ideology","communism","prepared",650
"qwen3_8b_base","political_ideology","conservatism","generation_status_not_ok",5
"qwen3_8b_base","political_ideology","conservatism","prepared",455
"qwen3_8b_base","political_ideology","democracy","prepared",1710
"qwen3_8b_base","political_ideology","fascism","prepared",575
"qwen3_8b_base","political_ideology","left-wing","prepared",565
"qwen3_8b_base","political_ideology","liberalism","generation_status_not_ok",5
"qwen3_8b_base","political_ideology","liberalism","prepared",455
"qwen3_8b_base","political_ideology","nationalism","prepared",2265
"qwen3_8b_base","political_ideology","populism","prepared",295
"qwen3_8b_base","political_ideology","right-wing","prepared",410
"qwen3_8b_base","political_ideology","socialism","prepared",1295
"qwen3_8b_base","profession","artistic_occupations","prepared",2165
"qwen3_8b_base","profession","computer_occupations","prepared",1045
"qwen3_8b_base","profession","corporate_titles","prepared",495
"qwen3_8b_base","profession","dance_occupations","prepared",3130
"qwen3_8b_base","profession","engineering_branches","prepared",15600
"qwen3_8b_base","profession","entertainer_occupations","prepared",2210
"qwen3_8b_base","profession","film_and_television_occupations","prepared",1225
"qwen3_8b_base","profession","healthcare_occupations","prepared",2655
"qwen3_8b_base","profession","industrial_occupations","prepared",535
"qwen3_8b_base","profession","mental_health_occupations","prepared",1745
"qwen3_8b_base","profession","metalworking_occupations","prepared",3125
"qwen3_8b_base","profession","nursing_specialties","prepared",1465
"qwen3_8b_base","profession","professional_driver_types","prepared",310
"qwen3_8b_base","profession","railway_industry_occupations","prepared",685
"qwen3_8b_base","profession","scientific_occupations","prepared",4120
"qwen3_8b_base","profession","sewing_occupations","prepared",4150
"qwen3_8b_base","profession","theatre_personnel","prepared",4210
"qwen3_8b_base","profession","writing_occupations","prepared",2105
"qwen3_8b_base","race","African_Americans","prepared",9270
"qwen3_8b_base","race","Asian_Americans","prepared",4305
"qwen3_8b_base","race","European_Americans","prepared",24195
"qwen3_8b_base","race","Hispanic_and_Latino_Americans","prepared",515
"qwen3_8b_base","religious_ideology","atheism","generation_status_not_ok",5
"qwen3_8b_base","religious_ideology","atheism","prepared",140
"qwen3_8b_base","religious_ideology","buddhism","prepared",670
"qwen3_8b_base","religious_ideology","christianity","prepared",855
"qwen3_8b_base","religious_ideology","hinduism","prepared",60
"qwen3_8b_base","religious_ideology","islam","generation_status_not_ok",5
"qwen3_8b_base","religious_ideology","islam","prepared",540
"qwen3_8b_base","religious_ideology","judaism","prepared",470
"qwen3_8b_base","religious_ideology","sikhism","prepared",450
"qwen3_8b_post","gender","American_actors","prepared",10240
"qwen3_8b_post","gender","American_actresses","prepared",5780
"qwen3_8b_post","political_ideology","anarchism","prepared",790
"qwen3_8b_post","political_ideology","capitalism","prepared",440
"qwen3_8b_post","political_ideology","communism","generation_status_not_ok",5
"qwen3_8b_post","political_ideology","communism","prepared",650
"qwen3_8b_post","political_ideology","conservatism","generation_status_not_ok",5
"qwen3_8b_post","political_ideology","conservatism","prepared",455
"qwen3_8b_post","political_ideology","democracy","prepared",1710
"qwen3_8b_post","political_ideology","fascism","prepared",575
"qwen3_8b_post","political_ideology","left-wing","prepared",565
"qwen3_8b_post","political_ideology","liberalism","generation_status_not_ok",5
"qwen3_8b_post","political_ideology","liberalism","prepared",455
"qwen3_8b_post","political_ideology","nationalism","prepared",2265
"qwen3_8b_post","political_ideology","populism","prepared",295
"qwen3_8b_post","political_ideology","right-wing","prepared",410
"qwen3_8b_post","political_ideology","socialism","prepared",1295
"qwen3_8b_post","profession","artistic_occupations","prepared",2165
"qwen3_8b_post","profession","computer_occupations","prepared",1045
"qwen3_8b_post","profession","corporate_titles","prepared",495
"qwen3_8b_post","profession","dance_occupations","prepared",3130
"qwen3_8b_post","profession","engineering_branches","prepared",15600
"qwen3_8b_post","profession","entertainer_occupations","prepared",2210
"qwen3_8b_post","profession","film_and_television_occupations","prepared",1225
"qwen3_8b_post","profession","healthcare_occupations","prepared",2655
"qwen3_8b_post","profession","industrial_occupations","prepared",535
"qwen3_8b_post","profession","mental_health_occupations","prepared",1745
"qwen3_8b_post","profession","metalworking_occupations","prepared",3125
"qwen3_8b_post","profession","nursing_specialties","prepared",1465
"qwen3_8b_post","profession","professional_driver_types","prepared",310
"qwen3_8b_post","profession","railway_industry_occupations","prepared",685
"qwen3_8b_post","profession","scientific_occupations","prepared",4120
"qwen3_8b_post","profession","sewing_occupations","prepared",4150
"qwen3_8b_post","profession","theatre_personnel","prepared",4210
"qwen3_8b_post","profession","writing_occupations","prepared",2105
"qwen3_8b_post","race","African_Americans","prepared",9270
"qwen3_8b_post","race","Asian_Americans","prepared",4305
"qwen3_8b_post","race","European_Americans","prepared",24195
"qwen3_8b_post","race","Hispanic_and_Latino_Americans","prepared",515
"qwen3_8b_post","religious_ideology","atheism","generation_status_not_ok",5
"qwen3_8b_post","religious_ideology","atheism","prepared",140
"qwen3_8b_post","religious_ideology","buddhism","prepared",670
"qwen3_8b_post","religious_ideology","christianity","prepared",855
"qwen3_8b_post","religious_ideology","hinduism","prepared",60
"qwen3_8b_post","religious_ideology","islam","generation_status_not_ok",5
"qwen3_8b_post","religious_ideology","islam","prepared",540
"qwen3_8b_post","religious_ideology","judaism","prepared",470
"qwen3_8b_post","religious_ideology","sikhism","prepared",450
