"dominio","categoria","ttr","n_prompt"
"gender","American_actors",0.25290976311105,2048
"gender","American_actresses",0.323486328125,1156
"political","nationalism",0.288333333333333,453
"political","democracy",0.306947368421053,342
"political","socialism",0.317073170731707,259
"political","conservatism",0.36984126984127,92
"political","left-wing",0.39030612244898,113
"political","anarchism",0.390538033395176,158
"political","communism",0.397604790419162,131
"political","liberalism",0.411580594679186,92
"political","right-wing",0.413153456998314,82
"political","capitalism",0.427364864864865,88
"political","fascism",0.444444444444444,115
"political","populism",0.476315789473684,59
"profession","engineering_branches",0.212534195473763,3120
"profession","theatre_personnel",0.280238183848158,842
"profession","healthcare_occupations",0.29069423929099,531
"profession","dance_occupations",0.291333019312294,626
"profession","scientific_occupations",0.293076923076923,824
"profession","sewing_occupations",0.297740876617108,830
"profession","nursing_specialties",0.299096528768426,293
"profession","corporate_titles",0.299101412066752,99
"profession","mental_health_occupations",0.320292347377472,349
"profession","metalworking_occupations",0.328636134876699,625
"profession","writing_occupations",0.334602207841644,421
"profession","computer_occupations",0.350508474576271,209
"profession","artistic_occupations",0.363062058714233,433
"profession","entertainer_occupations",0.381798404641044,442
"profession","film_and_television_occupations",0.396116504854369,245
"profession","industrial_occupations",0.412023460410557,107
"profession","railway_industry_occupations",0.451467268623025,137
"profession","professional_driver_types",0.48433734939759,62
"race","European_Americans",0.260402646123887,4839
"race","African_Americans",0.306194029850746,1854
"race","Asian_Americans",0.371119016817594,861
"race","Hispanic_and_Latino_Americans",0.530386740331492,103
"religion","christianity",0.385631709331131,171
"religion","buddhism",0.393258426966292,134
"religion","judaism",0.42156862745098,94
"religion","islam",0.455445544554455,109
"religion","sikhism",0.497267759562842,90
"religion","atheism",0.592592592592593,29
"religion","hinduism",0.651162790697674,12
