"model_key","domain","category","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_nul_rows","n_nul_characters","n_review"
"qwen3_8b_base","gender","American_actors",2048,2048,2048,0,0,0,0,0,2038,99.51171875,39.912109375,162.46923828125,2048,1,0.048828125,1,1,17,0.830078125,1,0,0,19
"qwen3_8b_base","gender","American_actresses",1156,1156,1156,0,0,0,0,0,1149,99.39446366782006,39.93166089965398,161.17906574394465,1156,0,0,0,0,14,1.2110726643598615,1,0,0,15
"qwen3_8b_base","political_ideology","anarchism",158,158,158,0,0,0,0,0,158,100,40,185.65189873417722,158,0,0,0,0,3,1.89873417721519,0,0,0,3
"qwen3_8b_base","political_ideology","capitalism",88,88,88,0,0,0,0,0,87,98.86363636363636,39.92045454545455,197.11363636363637,88,0,0,0,0,1,1.1363636363636365,0,0,0,1
"qwen3_8b_base","political_ideology","communism",131,131,130,1,0,0,0,0,130,100,40,182.5,130,0,0,0,0,3,2.307692307692308,0,0,0,3
"qwen3_8b_base","political_ideology","conservatism",92,92,91,1,0,0,0,0,91,100,40,204.4065934065934,91,0,0,0,0,1,1.098901098901099,0,0,0,1
"qwen3_8b_base","political_ideology","democracy",342,342,342,0,0,0,0,0,342,100,40,196.05847953216374,342,0,0,0,0,3,0.8771929824561403,0,0,0,3
"qwen3_8b_base","political_ideology","fascism",115,115,115,0,0,0,0,0,115,100,40,185.54782608695652,115,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_base","political_ideology","left-wing",113,113,113,0,0,0,0,0,112,99.11504424778761,39.92920353982301,181.84070796460176,113,0,0,0,0,2,1.7699115044247788,0,0,0,2
"qwen3_8b_base","political_ideology","liberalism",92,92,91,1,0,0,0,0,91,100,40,193.42857142857142,91,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_base","political_ideology","nationalism",453,453,453,0,0,0,0,0,451,99.55849889624724,39.9448123620309,185.5916114790287,453,1,0.22075055187637968,1,1,2,0.44150110375275936,0,0,0,3
"qwen3_8b_base","political_ideology","populism",59,59,59,0,0,0,0,0,59,100,40,186.4406779661017,59,0,0,0,0,1,1.694915254237288,0,0,0,1
"qwen3_8b_base","political_ideology","right-wing",82,82,82,0,0,0,0,0,81,98.78048780487805,39.91463414634146,185.73170731707316,82,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_base","political_ideology","socialism",259,259,259,0,0,0,0,0,259,100,40,193.15057915057915,259,0,0,0,0,3,1.1583011583011582,0,0,0,3
"qwen3_8b_base","profession","artistic_occupations",433,433,433,0,0,0,0,0,431,99.53810623556582,39.94919168591224,187.3579676674365,433,1,0.23094688221709006,1,1,5,1.1547344110854503,0,0,0,6
"qwen3_8b_base","profession","computer_occupations",209,209,209,0,0,0,0,0,208,99.52153110047847,39.91866028708134,211.244019138756,209,0,0,0,0,1,0.4784688995215311,0,0,0,1
"qwen3_8b_base","profession","corporate_titles",99,99,99,0,0,0,0,0,98,98.98989898989899,39.878787878787875,199.68686868686868,99,0,0,0,0,2,2.0202020202020203,0,0,0,2
"qwen3_8b_base","profession","dance_occupations",626,626,626,0,0,0,0,0,623,99.52076677316293,39.92012779552716,179.8594249201278,626,0,0,0,0,3,0.4792332268370607,0,1,8,4
"qwen3_8b_base","profession","engineering_branches",3120,3120,3120,0,0,0,0,0,3101,99.39102564102565,39.94070512820513,191.41442307692307,3120,1,0.03205128205128205,1,1,19,0.608974358974359,0,0,0,20
"qwen3_8b_base","profession","entertainer_occupations",442,442,442,0,0,0,0,0,435,98.41628959276018,39.78506787330317,180.39140271493213,442,4,0.904977375565611,4,4,6,1.3574660633484164,1,0,0,10
"qwen3_8b_base","profession","film_and_television_occupations",245,245,245,0,0,0,0,0,244,99.59183673469387,39.99183673469388,184.57142857142858,245,0,0,0,0,6,2.4489795918367347,0,0,0,6
"qwen3_8b_base","profession","healthcare_occupations",531,531,531,0,0,0,0,0,530,99.81167608286252,39.98870056497175,195.40112994350284,531,0,0,0,0,2,0.3766478342749529,0,0,0,2
"qwen3_8b_base","profession","industrial_occupations",107,107,107,0,0,0,0,0,107,100,40,197.13084112149534,107,1,0.9345794392523363,1,1,0,0,0,0,0,1
"qwen3_8b_base","profession","mental_health_occupations",349,349,349,0,0,0,0,0,349,100,40,199.4813753581662,349,0,0,0,0,6,1.7191977077363898,0,0,0,6
"qwen3_8b_base","profession","metalworking_occupations",625,625,625,0,1,0,0,0,622,99.52,39.9584,187.232,624,0,0,0,0,4,0.641025641025641,0,0,0,5
"qwen3_8b_base","profession","nursing_specialties",293,293,293,0,0,0,0,0,292,99.65870307167235,39.99317406143345,196.29692832764505,293,0,0,0,0,4,1.3651877133105803,0,0,0,4
"qwen3_8b_base","profession","professional_driver_types",62,62,62,0,0,0,0,0,62,100,40,180.2258064516129,62,0,0,0,0,1,1.6129032258064515,0,0,0,1
"qwen3_8b_base","profession","railway_industry_occupations",137,137,137,0,0,0,0,0,136,99.27007299270073,39.92700729927007,177.08759124087592,137,1,0.7299270072992701,1,1,2,1.4598540145985401,0,0,0,3
"qwen3_8b_base","profession","scientific_occupations",824,824,824,0,0,0,0,0,818,99.27184466019418,39.88956310679612,195.05825242718447,824,2,0.24271844660194172,1,2,6,0.7281553398058253,0,0,0,8
"qwen3_8b_base","profession","sewing_occupations",830,830,830,0,0,0,0,0,824,99.27710843373494,39.940963855421685,177.6855421686747,830,0,0,0,0,5,0.6024096385542169,0,0,0,5
"qwen3_8b_base","profession","theatre_personnel",842,842,842,0,0,0,0,0,838,99.5249406175772,39.94061757719715,183.58907363420428,842,1,0.11876484560570072,1,1,4,0.4750593824228029,0,0,0,5
"qwen3_8b_base","profession","writing_occupations",421,421,421,0,0,0,0,0,419,99.5249406175772,39.973871733966746,187.41805225653206,421,2,0.4750593824228029,2,2,8,1.9002375296912115,0,0,0,10
"qwen3_8b_base","race","African_Americans",1854,1854,1854,0,0,0,0,0,1849,99.73031283710895,39.97411003236246,160.74217907227617,1854,0,0,0,0,16,0.8629989212513484,1,0,0,17
"qwen3_8b_base","race","Asian_Americans",861,861,861,0,0,0,0,0,857,99.53542392566783,39.94773519163763,166.85598141695704,861,6,0.6968641114982579,5,6,8,0.9291521486643438,0,0,0,14
"qwen3_8b_base","race","European_Americans",4839,4839,4839,0,0,0,0,0,4816,99.52469518495558,39.94792312461252,160.55321347385822,4839,1,0.020665426741062205,1,1,54,1.115933044017359,0,0,0,55
"qwen3_8b_base","race","Hispanic_and_Latino_Americans",103,103,103,0,0,0,0,0,103,100,40,162.75728155339806,103,0,0,0,0,2,1.9417475728155338,0,0,0,2
"qwen3_8b_base","religious_ideology","atheism",29,29,28,1,0,0,0,0,28,100,40,185.35714285714286,28,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_base","religious_ideology","buddhism",134,134,134,0,0,0,0,0,134,100,40,172.72388059701493,134,2,1.4925373134328357,2,2,2,1.4925373134328357,0,0,0,4
"qwen3_8b_base","religious_ideology","christianity",171,171,171,0,0,0,0,0,170,99.41520467836257,39.888888888888886,181.48538011695908,171,0,0,0,0,2,1.1695906432748537,0,0,0,2
"qwen3_8b_base","religious_ideology","hinduism",12,12,12,0,0,0,0,0,12,100,40,185.58333333333334,12,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_base","religious_ideology","islam",109,109,108,1,0,0,0,0,108,100,40,179.50925925925927,108,0,0,0,0,1,0.9259259259259258,0,0,0,1
"qwen3_8b_base","religious_ideology","judaism",94,94,94,0,0,0,0,0,93,98.93617021276596,39.91489361702128,179.41489361702128,94,0,0,0,0,1,1.0638297872340425,0,0,0,1
"qwen3_8b_base","religious_ideology","sikhism",90,90,90,0,0,0,0,0,90,100,40,171.6888888888889,90,0,0,0,0,0,0,0,0,0,0
"qwen3_8b_post","gender","American_actors",2048,2048,2048,0,0,0,0,0,2048,100,40,158.02392578125,2048,0,0,0,0,6,0.29296875,0,0,0,6
"qwen3_8b_post","gender","American_actresses",1156,1156,1156,0,0,0,0,0,1156,100,40,157.89792387543253,1156,0,0,0,0,11,0.9515570934256056,0,0,0,11
"qwen3_8b_post","political_ideology","anarchism",158,158,158,0,0,0,0,0,158,100,40,180.0379746835443,158,0,0,0,0,1,0.6329113924050633,0,0,0,1
