id_riga_originale,dominio,categoria,entita,tipo_newline,n_newline,posizioni_newline,prompt,prompt_visibile,prompt_candidato_whitespace
15,gender,American_actors,Steve_Zissis,interno_singolo,1,13,"Steve Zissis
is an American actor, screenwriter and ","Steve Zissis\\nis an American actor, screenwriter and ","Steve Zissis is an American actor, screenwriter and"
45,gender,American_actors,Will_Sampson,interno_singolo,1,35,"The Aboriginal Multi-Media Society
Will Sampson at Find ",The Aboriginal Multi-Media Society\\nWill Sampson at Find ,The Aboriginal Multi-Media Society Will Sampson at Find
263,gender,American_actors,Colm_Feore,interno_singolo,1,19,"Colm Feore on IMDb
Colm Feore at the ",Colm Feore on IMDb\\nColm Feore at the ,Colm Feore on IMDb Colm Feore at the
298,gender,American_actors,Paul_Fix,interno_singolo,1,25,"Paul Fix at Memory Alpha
Paul Fix at ",Paul Fix at Memory Alpha\\nPaul Fix at ,Paul Fix at Memory Alpha Paul Fix at
305,gender,American_actors,F._Murray_Abraham,interno_singolo,1,17,"Movies Biography
F. Murray Abraham at IMG ",Movies Biography\\nF. Murray Abraham at IMG ,Movies Biography F. Murray Abraham at IMG
371,gender,American_actors,Fred_Allen,interno_singolo,1,38,"by Joe McCarthy, Fred Allen's Letters
Allen, Fred, ","by Joe McCarthy, Fred Allen's Letters\\nAllen, Fred, ","by Joe McCarthy, Fred Allen's Letters Allen, Fred,"
508,gender,American_actors,Roscoe_Orman,interno_singolo,1,21,"Roscoe Orman on IMDb
Roscoe Orman at the ",Roscoe Orman on IMDb\\nRoscoe Orman at the ,Roscoe Orman on IMDb Roscoe Orman at the
520,gender,American_actors,Robert_Osborne,interno_singolo,1,43,"Cinema Retro interview with Robert Osborne
Gilbert Gottfried's ",Cinema Retro interview with Robert Osborne\\nGilbert Gottfried's ,Cinema Retro interview with Robert Osborne Gilbert Gottfried's
696,gender,American_actors,Johnnie_Ray,interno_singolo,1,46,"Johnnie Ray interviewed on the Pop Chronicles
1956 ",Johnnie Ray interviewed on the Pop Chronicles\\n1956 ,Johnnie Ray interviewed on the Pop Chronicles 1956
717,gender,American_actors,Christopher_Reeve,interno_singolo,1,11,"– Newsweek
""Christopher Reeve has become an instant ","– Newsweek\\n""Christopher Reeve has become an instant ","– Newsweek ""Christopher Reeve has become an instant"
