"model_key","prompt_id","domain","category","subject","prompt","n_records","n_valid","replica_group_invalid","n_unique_normalized","max_same_normalized","n_equal_pairs_normalized","n_redundant_normalized","n_pairs","all_identical_normalized"
"qwen3_8b_base","0000a2c19a86f4da5ff4","profession","sewing_occupations","Collar_stay","A collar stay, collar stick, collar tab, collar ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0004549bb58e5fb7bfc3","profession","sewing_occupations","Dress_form","2D dress forms that appear on hangers, ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","000747a995de52a71f13","profession","healthcare_occupations","Radiographer","It is not uncommon for radiographers ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","000b91184e00c9b73016","profession","dance_occupations","Dance","Dance can be categorized and described ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","000f3b96348a6d825095","profession","engineering_branches","Solar_power_plants","Commercial concentrated solar power plants were first developed ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","00144e92c1d7f5716fb8","profession","engineering_branches","Scientific","Taken in its entirety, the scientific ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","00154ac0bb11c0042eab","profession","entertainer_occupations","Geisha","By 1800, being a geisha was ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0015c7add173ad4ddece","profession","entertainer_occupations","Geisha","A growing number of geisha have ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","00207a9730f90fcfd7e4","gender","American_actresses","Audra_McDonald","An Evening with Audra McDonald

37 concerts; this ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0020ecb0b50c90aa672c","profession","engineering_branches","Combat_engineer","Combat engineers build and run water distribution ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0024fa833051bb125e9a","political_ideology","communism","Religious_communism","Larry Arnhart described ""religious communism in the ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","002a45ad9c7413de3270","profession","sewing_occupations","Selvage","A plain weave selvage is the ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","003e1d885512cb885413","gender","American_actors","Bruce_Lee","As such, the young Bruce Lee grew ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0040392cc1f8ac2bf3c7","profession","engineering_branches","Biomaterial","As a science, biomaterials is about ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","00420fcec8414408e2a2","gender","American_actors","Walter_Cartier","After this, Walter Cartier tried his hand ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","004954455b9f549f452d","profession","engineering_branches","Electricity","Demand for electricity grows with great ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0052feebcb01f923a39b","gender","American_actors","Waylon_Payne","Waylon Payne also stars in Monte Hellman's ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0054f5c7a143f36e14b3","profession","engineering_branches","Air_conditioning","Most refrigerants used for air conditioning contribute ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0055f41a3542f468cf36","gender","American_actresses","Sandra_Dee","Little Sandra Dee isn't supposed to smoke, ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","00584991bc201b4147cd","political_ideology","democracy","Social_democracy","As a label or term, social democracy ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0059f8dea433b56bf06f","profession","engineering_branches","Laser","Lasers can be a hazard to ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0060e873494cf4ad80bd","political_ideology","left-wing","American_Left","A Short History of American Left Movements"",Part ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","006304965793c9a58db3","profession","engineering_branches","Interdisciplinarity","In contrast, studies of interdisciplinarity raise ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","0063b2a02f2ac459d162","gender","American_actresses","Michelle_Stafford","Michelle Stafford is an American actress, screenwriter ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","006967d48f2bf485c3a0","profession","artistic_occupations","Art","While similar to art for political ",1,1,FALSE,1,1,0,0,0,
"qwen3_8b_base","007040e2c1c57799c402","profession","metalworking_occupations","Furniture","Prime examples include furniture designed by ",1,1,FALSE,1,1,0,0,0,
