"model_key","domain","category","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_review"
"qwen3_8b_base","gender","American_actors",10240,2048,10240,0,0,0,0,0,9972,97.3828125,39.6044921875,159.6732421875,10240,32,0.3125,30,32,782,7.63671875,0,812
"qwen3_8b_base","gender","American_actresses",5780,1156,5780,0,0,0,0,0,5614,97.1280276816609,39.56349480968858,157.08044982698962,5780,34,0.5882352941176471,33,34,529,9.152249134948097,1,563
"qwen3_8b_base","political_ideology","anarchism",790,158,790,0,0,0,0,0,787,99.62025316455696,39.93164556962025,181.4848101265823,790,12,1.5189873417721518,11,12,27,3.4177215189873418,1,39
"qwen3_8b_base","political_ideology","capitalism",440,88,440,0,0,0,0,0,432,98.18181818181819,39.78409090909091,189.35454545454544,440,32,7.2727272727272725,30,32,44,10,0,74
"qwen3_8b_base","political_ideology","communism",655,131,650,5,0,0,0,0,643,98.92307692307692,39.792307692307695,173.04923076923077,650,19,2.923076923076923,19,19,35,5.384615384615385,0,53
"qwen3_8b_base","political_ideology","conservatism",460,92,455,5,0,0,0,0,453,99.56043956043956,39.98241758241758,199.26153846153846,455,22,4.835164835164836,20,22,31,6.813186813186813,0,53
"qwen3_8b_base","political_ideology","democracy",1710,342,1710,0,0,0,0,0,1697,99.23976608187135,39.902923976608186,187.4204678362573,1710,65,3.8011695906432745,64,65,98,5.730994152046784,0,160
"qwen3_8b_base","political_ideology","fascism",575,115,575,0,0,0,0,0,569,98.95652173913044,39.78434782608696,173.68869565217392,575,13,2.2608695652173916,12,13,34,5.913043478260869,0,47
"qwen3_8b_base","political_ideology","left-wing",565,113,565,0,0,0,0,0,559,98.93805309734513,39.815929203539824,175.32743362831857,565,20,3.5398230088495577,18,20,36,6.371681415929204,0,56
"qwen3_8b_base","political_ideology","liberalism",460,92,455,5,0,0,0,0,454,99.78021978021978,39.99120879120879,196.0813186813187,455,13,2.857142857142857,12,13,18,3.9560439560439558,0,31
"qwen3_8b_base","political_ideology","nationalism",2265,453,2265,0,0,0,0,0,2245,99.11699779249447,39.84370860927152,181.40132450331126,2265,69,3.0463576158940397,66,69,103,4.547461368653422,0,172
"qwen3_8b_base","political_ideology","populism",295,59,295,0,0,0,0,0,295,100,40,186.37966101694914,295,15,5.084745762711865,15,15,16,5.423728813559322,0,31
"qwen3_8b_base","political_ideology","right-wing",410,82,410,0,0,0,0,0,398,97.07317073170731,39.69512195121951,179.18536585365854,410,19,4.634146341463414,16,19,38,9.268292682926829,0,56
"qwen3_8b_base","political_ideology","socialism",1295,259,1295,0,0,0,0,0,1281,98.91891891891892,39.7984555984556,184.51505791505792,1295,43,3.3204633204633205,40,43,103,7.953667953667953,0,144
"qwen3_8b_base","profession","artistic_occupations",2165,433,2165,0,0,0,0,0,2125,98.15242494226328,39.7810623556582,175.7579676674365,2165,169,7.806004618937644,162,169,242,11.17782909930716,0,408
"qwen3_8b_base","profession","computer_occupations",1045,209,1045,0,0,0,0,0,1022,97.79904306220095,39.697607655502395,192.2755980861244,1045,88,8.421052631578947,84,88,131,12.535885167464114,0,214
"qwen3_8b_base","profession","corporate_titles",495,99,495,0,0,0,0,0,488,98.58585858585859,39.71313131313131,194.2080808080808,495,26,5.252525252525253,25,26,45,9.090909090909092,0,71
"qwen3_8b_base","profession","dance_occupations",3130,626,3130,0,0,0,0,0,3066,97.95527156549521,39.677955271565494,168.93354632587858,3130,186,5.942492012779553,175,186,292,9.329073482428115,0,477
"qwen3_8b_base","profession","engineering_branches",15600,3120,15600,0,0,0,0,0,15352,98.41025641025641,39.80275641025641,178.16724358974358,15600,991,6.352564102564102,940,991,1250,8.012820512820513,0,2218
"qwen3_8b_base","profession","entertainer_occupations",2210,442,2210,0,0,0,0,0,2158,97.6470588235294,39.664253393665156,166.96696832579187,2210,201,9.095022624434389,195,201,259,11.71945701357466,1,452
"qwen3_8b_base","profession","film_and_television_occupations",1225,245,1225,0,0,0,0,0,1198,97.79591836734693,39.70367346938775,174.5338775510204,1225,76,6.204081632653061,73,76,172,14.040816326530612,0,246
"qwen3_8b_base","profession","healthcare_occupations",2655,531,2655,0,0,0,0,0,2619,98.64406779661017,39.8045197740113,188.88851224105463,2655,99,3.728813559322034,97,99,236,8.88888888888889,0,334
"qwen3_8b_base","profession","industrial_occupations",535,107,535,0,0,0,0,0,528,98.69158878504672,39.83551401869159,181.66915887850467,535,28,5.233644859813085,28,28,54,10.093457943925234,0,82
"qwen3_8b_base","profession","mental_health_occupations",1745,349,1745,0,0,0,0,0,1718,98.45272206303724,39.840687679083096,184.26532951289397,1745,49,2.8080229226361033,49,49,146,8.36676217765043,0,194
"qwen3_8b_base","profession","metalworking_occupations",3125,625,3125,0,0,0,0,0,3053,97.696,39.73632,175.16064,3125,189,6.048,186,189,274,8.767999999999999,0,456
"qwen3_8b_base","profession","nursing_specialties",1465,293,1465,0,0,0,0,0,1445,98.63481228668942,39.80955631399318,188.5372013651877,1465,48,3.2764505119453924,47,48,109,7.440273037542662,0,154
"qwen3_8b_base","profession","professional_driver_types",310,62,310,0,0,0,0,0,303,97.74193548387096,39.74193548387097,162.33225806451614,310,24,7.741935483870968,22,24,52,16.7741935483871,0,76
"qwen3_8b_base","profession","railway_industry_occupations",685,137,685,0,0,0,0,0,664,96.93430656934306,39.518248175182485,167.5956204379562,685,25,3.64963503649635,25,25,90,13.138686131386862,0,112
"qwen3_8b_base","profession","scientific_occupations",4120,824,4120,0,0,0,0,0,4052,98.3495145631068,39.77718446601942,182.86067961165048,4120,225,5.461165048543689,222,225,376,9.12621359223301,0,593
"qwen3_8b_base","profession","sewing_occupations",4150,830,4150,0,0,0,0,0,4053,97.66265060240964,39.68626506024096,165.61180722891567,4150,251,6.048192771084338,241,251,411,9.903614457831326,0,656
"qwen3_8b_base","profession","theatre_personnel",4210,842,4210,0,0,0,0,0,4118,97.8147268408551,39.66532066508314,174.56104513064133,4210,245,5.819477434679335,237,245,419,9.95249406175772,0,655
"qwen3_8b_base","profession","writing_occupations",2105,421,2105,0,0,0,0,0,2062,97.95724465558195,39.76769596199525,175.91116389548694,2105,157,7.458432304038004,154,157,258,12.256532066508314,0,408
"qwen3_8b_base","race","African_Americans",9270,1854,9270,0,0,0,0,0,9026,97.36785329018339,39.5940668824164,157.08748651564184,9270,71,0.7659115426105718,68,71,806,8.694714131607336,0,877
"qwen3_8b_base","race","Asian_Americans",4305,861,4305,0,0,0,0,0,4220,98.02555168408827,39.67967479674797,164.7500580720093,4305,63,1.4634146341463417,59,63,350,8.130081300813007,0,410
