"domain","matched_text","replacement","n_replacements"
"gender","Aaron Eckhart","Person",13
"gender","Aaron Lazar","Person",10
"gender","Aaron Norris","Person",10
"gender","Aaron Sanders","Person",11
"gender","Aaron Schoenke","Person",23
"gender","Aasif Mandvi","Person",41
"gender","Abe Vigoda","Person",32
"gender","Abner Genece","Person",10
"gender","Adam Baldwin","Person",12
"gender","Adam Carolla","Person",120
"gender","Adam Ferrara","Person",10
"gender","Adam Kantor","Person",10
"gender","Adam Kassen","Person",11
"gender","Adam Lavorgna","Person",10
"gender","Adam Zolotin","Person",11
"gender","Adele Mara","Person",10
"gender","Adrian Zaw","Person",11
"gender","Adrienne King","Person",11
"gender","Adrienne Shelly","Person",29
"gender","Ahmed Ahmed","Person",23
"gender","Aidan Quinn","Person",11
"gender","Aileen Quinn","Person",20
"gender","Al Bandiero","Person",11
"gender","Al Ferguson","Person",12
"gender","Al Israel","Person",10
"gender","Al Jolson","Person",23
"gender","Al Sapienza","Person",13
"gender","Alan Aisenberg","Person",10
"gender","Alan Alda","Person",11
"gender","Alan Carney","Person",52
"gender","Alan Gifford","Person",10
"gender","Alan Ladd","Person",44
"gender","Alan Landers","Person",11
"gender","Alan Oppenheimer","Person",11
"gender","Alan Ormsby","Person",10
"gender","Alan Reed","Person",11
"gender","Alan Sader","Person",10
"gender","Alan Young","Person",24
"gender","Alan Zweibel","Person",11
"gender","Albert MacQuarrie","Person",11
"gender","Albert Macklin","Person",10
"gender","Albert Paulsen","Person",10
"gender","Albert Ray","Person",11
"gender","Albert Salmi","Person",13
"gender","Albert Zugsmith","Person",12
"gender","Aldo Ray","Person",35
"gender","Alec Rayme","Person",10
"gender","Alejandro Patino","Person",17
"gender","Alex Karras","Person",13
"gender","Alex Kendrick","Person",23
"gender","Alex Nicol","Person",12
"gender","Alex Reymundo","Person",11
"gender","Alex Veadov","Person",34
"gender","Alexander Carr","Person",11
"gender","Alexandra Hedison","Person",10
"gender","Alexie Gilmore","Person",14
"gender","Alexis Arquette","Person",12
"gender","Alexis Bledel","Person",10
"gender","Alfre Woodard","Person",12
"gender","Alfred Zeisler","Person",11
"gender","Alice Brady","Person",15
"gender","Alice Playten","Person",12
"gender","Alicia Rhett","Person",25
"gender","Alison LaPlaca","Person",11
"gender","Allen Danziger","Person",10
"gender","Allen Evangelista","Person",11
"gender","Allen Garfield","Person",10
"gender","Allen Payne","Person",12
"gender","Allie DeBerry","Person",31
"gender","Allie Deberry","Person",2
"gender","Allison Hayes","Person",10
"gender","Allison Scagliotti","Person",10
"gender","Aloma Wright","Person",10
"gender","Alvin Epstein","Person",11
"gender","Alvin Ing","Person",11
"gender","Amanda Bearse","Person",10
"gender","Amanda Peterson","Person",10
