"model_key","repetition","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_review"
"qwen3_8b_base",1,23679,23679,23674,5,0,0,0,0,23180,97.91332263242376,39.70009292895159,168.69177156374082,23674,780,3.29475373827828,755,780,2052,8.667736757624397,2,2808
"qwen3_8b_base",2,23679,23679,23674,5,0,0,0,0,23179,97.90909858916955,39.69988172678888,168.69333445974488,23674,797,3.3665624735997297,763,797,1966,8.304469037762948,1,2745
"qwen3_8b_base",3,23679,23679,23674,5,0,0,0,0,23166,97.85418602686492,39.68218298555377,168.62832643406267,23674,764,3.2271690462110336,738,764,2055,8.680408887387008,1,2799
"qwen3_8b_base",4,23679,23679,23674,5,0,0,0,0,23201,98.00202754076201,39.6981921094872,169.04456365633183,23674,770,3.252513305736251,741,770,1987,8.393173946101209,0,2732
"qwen3_8b_base",5,23679,23679,23674,5,0,0,0,0,23177,97.90065050266115,39.678550308355156,168.3860353130016,23674,784,3.311649911295092,742,784,1950,8.2368843456957,0,2712
"qwen3_8b_post",1,23679,23679,23674,5,0,0,0,0,23674,100,40,163.50958857818705,23674,501,2.1162456703556645,491,501,3907,16.50333699417082,5,4383
"qwen3_8b_post",2,23679,23679,23674,5,0,0,0,0,23673,99.99577595674579,39.999704316972206,163.04760496747485,23674,555,2.3443440060826224,546,555,3863,16.31747909098589,1,4386
"qwen3_8b_post",3,23679,23679,23674,5,0,0,0,0,23673,99.99577595674579,39.99995775956746,163.28423587057532,23674,526,2.2218467517107374,517,526,3972,16.77789980569401,1,4465
"qwen3_8b_post",4,23679,23679,23674,5,0,0,0,0,23674,100,40,163.3852327447833,23674,501,2.1162456703556645,494,501,3890,16.43152825884937,1,4362
"qwen3_8b_post",5,23679,23679,23674,5,0,0,0,0,23674,100,40,163.54545070541522,23674,559,2.361240179099434,547,559,3787,15.99645180366647,4,4313
