"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"",5,"political | religion","political::communism | political::conservatism | political::liberalism | religion::atheism | religion::islam","Communism | Conservatism | Liberalism | Atheism | Islamism"
"Consequently, professional dancers often must supplement ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"In the U.S. many professional dancers ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"Participatory dancers often all employ the ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"Professional dancers began to take the ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"Professional dancers must possess large amounts of ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"Scholes, not a dancer but a ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"The American dancer Ted Shawn wrote; ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"The professional life of a dancer ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"The rhythm of the dancers' feet ",5,"profession","profession::artistic_occupations | profession::dance_occupations | profession::dance_occupations | profession::entertainer_occupations | profession::theatre_personnel","Dancer | Dancer | Dance | Dancer | Dancer"
"The player takes control of Chuck Norris ",4,"gender | race","gender::American_actors | gender::American_actors | race::European_Americans | race::European_Americans","Chuck_Norris | Chuck_Norris | Chuck_Norris | Chuck_Norris"
"(In very earlier times, writers used ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"), Bachelor of Mechanical Engineering ",3,"profession","profession::engineering_branches | profession::metalworking_occupations | profession::scientific_occupations","Mechanical_engineering | Mechanical_engineering | Mechanical_engineering"
"A blog writer is using the ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"A costume designer is a person who ",3,"profession","profession::film_and_television_occupations | profession::theatre_personnel | profession::theatre_personnel","Costume_designer | Costume_designer | Costume_Designer"
"A musician is a person who ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"A musician who plays a musical instrument ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::theatre_personnel","Musician | Musician | Musician"
"A psychologist studies normal and abnormal ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
"A writer is a person who ",3,"profession","profession::artistic_occupations | profession::entertainer_occupations | profession::writing_occupations","Writer | Writer | Writer"
"Academic psychologists educate higher-education students as ",3,"profession","profession::healthcare_occupations | profession::mental_health_occupations | profession::scientific_occupations","Psychologist | Psychologist | Psychologist"
