"domain","subject","alias","replacement","source","enabled","review_reason"
"gender","Jacob_Zachar","Jacob Zachar","Person","subject_label",TRUE,
"gender","Frank_Zagarino","Frank Zagarino","Person","subject_label",TRUE,
"gender","John_Zaremba","John Zaremba","Person","subject_label",TRUE,
"gender","Michael_Zarnock","Michael Zarnock","Person","subject_label",TRUE,
"gender","Adrian_Zaw","Adrian Zaw","Person","subject_label",TRUE,
"gender","Terrance_Zdunich","Terrance Zdunich","Person","subject_label",TRUE,
"gender","Alfred_Zeisler","Alfred Zeisler","Person","subject_label",TRUE,
"gender","Enzo_Zelocchi","Enzo Zelocchi","Person","subject_label",TRUE,
"gender","John_Zenda","John Zenda","Person","subject_label",TRUE,
"gender","John_Zibell","John Zibell","Person","subject_label",TRUE,
"gender","Wolfgang_Zilzer","Wolfgang Zilzer","Person","subject_label",TRUE,
"gender","Efrem_Zimbalist_Jr.","Efrem Zimbalist Jr.","Person","subject_label",TRUE,
"gender","Joey_Zimmerman","Joey Zimmerman","Person","subject_label",TRUE,
"gender","Steve_Zissis","Steve Zissis","Person","subject_label",TRUE,
"gender","Bob_Zmuda","Bob Zmuda","Person","subject_label",TRUE,
"gender","Adam_Zolotin","Adam Zolotin","Person","subject_label",TRUE,
"gender","Michael_Zorek","Michael Zorek","Person","subject_label",TRUE,
"gender","Daniel_Zovatto","Daniel Zovatto","Person","subject_label",TRUE,
"gender","Albert_Zugsmith","Albert Zugsmith","Person","subject_label",TRUE,
"gender","Jim_Zulevic","Jim Zulevic","Person","subject_label",TRUE,
"gender","Alan_Zweibel","Alan Zweibel","Person","subject_label",TRUE,
"gender","Chris_Zylka","Chris Zylka","Person","subject_label",TRUE,
"gender","Brian_Sacca","Brian Sacca","Person","subject_label",TRUE,
"gender","Michael_Sacks","Michael Sacks","Person","subject_label",TRUE,
"gender","Alan_Sader","Alan Sader","Person","subject_label",TRUE,
"gender","Thomas_Sadoski","Thomas Sadoski","Person","subject_label",TRUE,
"gender","Reza_Sixo_Safai","Reza Sixo Safai","Person","subject_label",TRUE,
"gender","Jack_Sahakian","Jack Sahakian","Person","subject_label",TRUE,
"gender","Raymond_St._Jacques","Raymond St. Jacques","Person","subject_label",TRUE,
"gender","Harold_Sakata","Harold Sakata","Person","subject_label",TRUE,
"gender","Greg_Salata","Greg Salata","Person","subject_label",TRUE,
"gender","Kario_Salem","Kario Salem","Person","subject_label",TRUE,
"gender","Matt_Salinger","Matt Salinger","Person","subject_label",TRUE,
"gender","Monroe_Salisbury","Monroe Salisbury","Person","subject_label",TRUE,
"gender","John_Salley","John Salley","Person","subject_label",TRUE,
"gender","Albert_Salmi","Albert Salmi","Person","subject_label",TRUE,
"gender","Jack_Salvatore_Jr.","Jack Salvatore Jr.","Person","subject_label",TRUE,
"gender","Sammy_Blum","Sammy Blum","Person","subject_label",TRUE,
"gender","Will_Sampson","Will Sampson","Person","subject_label",TRUE,
"gender","Russell_Sams","Russell Sams","Person","subject_label",TRUE,
"gender","Edwin_San_Juan","Edwin San Juan","Person","subject_label",TRUE,
"gender","Marco_Sanchez","Marco Sanchez","Person","subject_label",TRUE,
"gender","Otto_Sanchez","Otto Sanchez","Person","subject_label",TRUE,
"gender","Tony_Sancho","Tony Sancho","Person","subject_label",TRUE,
"gender","Paul_Sand","Paul Sand","Person","subject_label",TRUE,
"gender","Walter_Sande","Walter Sande","Person","subject_label",TRUE,
"gender","Ian_Sander","Ian Sander","Person","subject_label",TRUE,
"gender","Aaron_Sanders","Aaron Sanders","Person","subject_label",TRUE,
"gender","C._J._Sanders","C. J. Sanders","Person","subject_label",TRUE,
"gender","William_Sanderson","William Sanderson","Person","subject_label",TRUE,
"gender","Ethan_Sandler","Ethan Sandler","Person","subject_label",TRUE,
"gender","Steve_Sandor","Steve Sandor","Person","subject_label",TRUE,
"gender","Nick_Sandow","Nick Sandow","Person","subject_label",TRUE,
"gender","Johnny_Sands","Johnny Sands","Person","subject_label",TRUE,
"gender","Erskine_Sanford","Erskine Sanford","Person","subject_label",TRUE,
"gender","Merlin_Santana","Merlin Santana","Person","subject_label",TRUE,
"gender","Andrew_Santino","Andrew Santino","Person","subject_label",TRUE,
"gender","Fred_Santley","Fred Santley","Person","subject_label",TRUE,
"gender","Joseph_Santley","Joseph Santley","Person","subject_label",TRUE,
"gender","Reni_Santoni","Reni Santoni","Person","subject_label",TRUE,
"gender","Davi_Santos","Davi Santos","Person","subject_label",TRUE,
"gender","Joe_Santos","Joe Santos","Person","subject_label",TRUE,
"gender","Al_Sapienza","Al Sapienza","Person","subject_label",TRUE,
"gender","Dick_Sargent","Dick Sargent","Person","subject_label",TRUE,
"gender","Bob_Sarlatte","Bob Sarlatte","Person","subject_label",TRUE,
"gender","Patrick_Sarniak","Patrick Sarniak","Person","subject_label",TRUE,
"gender","Peter_Sarsgaard","Peter Sarsgaard","Person","subject_label",TRUE,
"gender","Gailard_Sartain","Gailard Sartain","Person","subject_label",TRUE,
"gender","Paul_Satterfield","Paul Satterfield","Person","subject_label",TRUE,
"gender","Brad_Savage","Brad Savage","Person","subject_label",TRUE,
"gender","George_Savalas","George Savalas","Person","subject_label",TRUE,
"gender","Stelio_Savante","Stelio Savante","Person","subject_label",TRUE,
"gender","Gus_Saville","Gus Saville","Person","subject_label",TRUE,
"gender","Jimmy_Savo","Jimmy Savo","Person","subject_label",TRUE,
"gender","Hartley_Sawyer","Hartley Sawyer","Person","subject_label",TRUE,
"gender","John_Saxon","John Saxon","Person","subject_label",TRUE,
"gender","Rolf_Saxon","Rolf Saxon","Person","subject_label",TRUE,
"gender","Raphael_Sbarge","Raphael Sbarge","Person","subject_label",TRUE,
"gender","Don_Scardino","Don Scardino","Person","subject_label",TRUE,
"gender","Hal_Scardino","Hal Scardino","Person","subject_label",TRUE,
"gender","Paul_Scardon","Paul Scardon","Person","subject_label",TRUE,
"gender","Christopher_Schaap","Christopher Schaap","Person","subject_label",TRUE,
"gender","Fritz_Schade","Fritz Schade","Person","subject_label",TRUE,
"gender","Johnathon_Schaech","Johnathon Schaech","Person","subject_label",TRUE,
"gender","Eric_Schaeffer","Eric Schaeffer","Person","subject_label",TRUE,
"gender","Daniel_Joseph_Schafer","Daniel Joseph Schafer","Person","subject_label",TRUE,
"gender","Robert_Scheerer","Robert Scheerer","Person","subject_label",TRUE,
"gender","Richard_Schiff","Richard Schiff","Person","subject_label",TRUE,
"gender","Rudolph_Schildkraut","Rudolph Schildkraut","Person","subject_label",TRUE,
"gender","William_G._Schilling","William G. Schilling","Person","subject_label",TRUE,
"gender","Zander_Schloss","Zander Schloss","Person","subject_label",TRUE,
"gender","Ned_Schmidtke","Ned Schmidtke","Person","subject_label",TRUE,
"gender","Jonathan_Schmock","Jonathan Schmock","Person","subject_label",TRUE,
