"model_key","domain","category","n_records","n_prepared","n_not_prepared","n_excluded_han","n_eligible","pct_excluded_han_prepared","pct_eligible_prepared"
"qwen3_8b_base","gender","American_actors",10240,10240,0,32,10208,0.3125,99.6875
"qwen3_8b_base","gender","American_actresses",5780,5780,0,34,5746,0.5882352941176471,99.41176470588235
"qwen3_8b_base","political_ideology","anarchism",790,790,0,12,778,1.518987341772152,98.48101265822785
"qwen3_8b_base","political_ideology","capitalism",440,440,0,32,408,7.2727272727272725,92.72727272727273
"qwen3_8b_base","political_ideology","communism",655,650,5,19,631,2.923076923076923,97.07692307692308
"qwen3_8b_base","political_ideology","conservatism",460,455,5,22,433,4.835164835164835,95.16483516483517
"qwen3_8b_base","political_ideology","democracy",1710,1710,0,65,1645,3.801169590643275,96.19883040935673
"qwen3_8b_base","political_ideology","fascism",575,575,0,13,562,2.260869565217391,97.73913043478261
"qwen3_8b_base","political_ideology","left-wing",565,565,0,20,545,3.5398230088495577,96.46017699115045
"qwen3_8b_base","political_ideology","liberalism",460,455,5,13,442,2.857142857142857,97.14285714285714
"qwen3_8b_base","political_ideology","nationalism",2265,2265,0,69,2196,3.0463576158940397,96.95364238410596
"qwen3_8b_base","political_ideology","populism",295,295,0,15,280,5.084745762711864,94.91525423728814
"qwen3_8b_base","political_ideology","right-wing",410,410,0,19,391,4.634146341463414,95.36585365853658
"qwen3_8b_base","political_ideology","socialism",1295,1295,0,43,1252,3.3204633204633205,96.67953667953668
"qwen3_8b_base","profession","artistic_occupations",2165,2165,0,169,1996,7.806004618937644,92.19399538106235
"qwen3_8b_base","profession","computer_occupations",1045,1045,0,88,957,8.421052631578947,91.57894736842105
"qwen3_8b_base","profession","corporate_titles",495,495,0,26,469,5.252525252525253,94.74747474747475
"qwen3_8b_base","profession","dance_occupations",3130,3130,0,186,2944,5.942492012779553,94.05750798722045
"qwen3_8b_base","profession","engineering_branches",15600,15600,0,991,14609,6.352564102564102,93.6474358974359
"qwen3_8b_base","profession","entertainer_occupations",2210,2210,0,201,2009,9.095022624434389,90.90497737556561
"qwen3_8b_base","profession","film_and_television_occupations",1225,1225,0,76,1149,6.204081632653061,93.79591836734694
"qwen3_8b_base","profession","healthcare_occupations",2655,2655,0,99,2556,3.7288135593220337,96.27118644067797
"qwen3_8b_base","profession","industrial_occupations",535,535,0,28,507,5.233644859813084,94.76635514018692
"qwen3_8b_base","profession","mental_health_occupations",1745,1745,0,49,1696,2.8080229226361033,97.1919770773639
"qwen3_8b_base","profession","metalworking_occupations",3125,3125,0,189,2936,6.048,93.952
"qwen3_8b_base","profession","nursing_specialties",1465,1465,0,48,1417,3.2764505119453924,96.7235494880546
"qwen3_8b_base","profession","professional_driver_types",310,310,0,24,286,7.741935483870968,92.25806451612904
"qwen3_8b_base","profession","railway_industry_occupations",685,685,0,25,660,3.6496350364963503,96.35036496350365
"qwen3_8b_base","profession","scientific_occupations",4120,4120,0,225,3895,5.461165048543689,94.53883495145631
"qwen3_8b_base","profession","sewing_occupations",4150,4150,0,251,3899,6.048192771084337,93.95180722891567
"qwen3_8b_base","profession","theatre_personnel",4210,4210,0,245,3965,5.819477434679335,94.18052256532067
"qwen3_8b_base","profession","writing_occupations",2105,2105,0,157,1948,7.458432304038005,92.541567695962
"qwen3_8b_base","race","African_Americans",9270,9270,0,71,9199,0.7659115426105717,99.23408845738943
"qwen3_8b_base","race","Asian_Americans",4305,4305,0,63,4242,1.4634146341463414,98.53658536585365
"qwen3_8b_base","race","European_Americans",24195,24195,0,170,24025,0.7026245091961149,99.29737549080389
"qwen3_8b_base","race","Hispanic_and_Latino_Americans",515,515,0,6,509,1.1650485436893203,98.83495145631068
"qwen3_8b_base","religious_ideology","atheism",145,140,5,5,135,3.5714285714285716,96.42857142857143
"qwen3_8b_base","religious_ideology","buddhism",670,670,0,42,628,6.268656716417911,93.73134328358209
"qwen3_8b_base","religious_ideology","christianity",855,855,0,23,832,2.690058479532164,97.30994152046783
"qwen3_8b_base","religious_ideology","hinduism",60,60,0,0,60,0,100
"qwen3_8b_base","religious_ideology","islam",545,540,5,16,524,2.962962962962963,97.03703703703704
"qwen3_8b_base","religious_ideology","judaism",470,470,0,7,463,1.4893617021276595,98.51063829787235
"qwen3_8b_base","religious_ideology","sikhism",450,450,0,7,443,1.5555555555555556,98.44444444444444
"qwen3_8b_post","gender","American_actors",10240,10240,0,22,10218,0.21484375,99.78515625
"qwen3_8b_post","gender","American_actresses",5780,5780,0,14,5766,0.2422145328719723,99.75778546712803
"qwen3_8b_post","political_ideology","anarchism",790,790,0,13,777,1.6455696202531647,98.35443037974683
"qwen3_8b_post","political_ideology","capitalism",440,440,0,19,421,4.318181818181818,95.68181818181819
"qwen3_8b_post","political_ideology","communism",655,650,5,11,639,1.6923076923076923,98.3076923076923
"qwen3_8b_post","political_ideology","conservatism",460,455,5,14,441,3.076923076923077,96.92307692307692
"qwen3_8b_post","political_ideology","democracy",1710,1710,0,52,1658,3.0409356725146197,96.95906432748538
"qwen3_8b_post","political_ideology","fascism",575,575,0,8,567,1.391304347826087,98.6086956521739
"qwen3_8b_post","political_ideology","left-wing",565,565,0,15,550,2.6548672566371683,97.34513274336283
"qwen3_8b_post","political_ideology","liberalism",460,455,5,18,437,3.956043956043956,96.04395604395604
"qwen3_8b_post","political_ideology","nationalism",2265,2265,0,47,2218,2.075055187637969,97.92494481236203
"qwen3_8b_post","political_ideology","populism",295,295,0,21,274,7.11864406779661,92.88135593220339
"qwen3_8b_post","political_ideology","right-wing",410,410,0,9,401,2.1951219512195124,97.8048780487805
"qwen3_8b_post","political_ideology","socialism",1295,1295,0,33,1262,2.548262548262548,97.45173745173746
"qwen3_8b_post","profession","artistic_occupations",2165,2165,0,115,2050,5.311778290993072,94.68822170900692
"qwen3_8b_post","profession","computer_occupations",1045,1045,0,56,989,5.358851674641149,94.64114832535886
"qwen3_8b_post","profession","corporate_titles",495,495,0,25,470,5.05050505050505,94.94949494949495
"qwen3_8b_post","profession","dance_occupations",3130,3130,0,110,3020,3.5143769968051117,96.48562300319489
"qwen3_8b_post","profession","engineering_branches",15600,15600,0,779,14821,4.993589743589744,95.00641025641026
"qwen3_8b_post","profession","entertainer_occupations",2210,2210,0,120,2090,5.429864253393665,94.57013574660634
"qwen3_8b_post","profession","film_and_television_occupations",1225,1225,0,43,1182,3.510204081632653,96.48979591836735
"qwen3_8b_post","profession","healthcare_occupations",2655,2655,0,58,2597,2.184557438794727,97.81544256120527
"qwen3_8b_post","profession","industrial_occupations",535,535,0,21,514,3.925233644859813,96.07476635514018
"qwen3_8b_post","profession","mental_health_occupations",1745,1745,0,40,1705,2.292263610315186,97.70773638968481
"qwen3_8b_post","profession","metalworking_occupations",3125,3125,0,142,2983,4.544,95.456
"qwen3_8b_post","profession","nursing_specialties",1465,1465,0,24,1441,1.6382252559726962,98.3617747440273
"qwen3_8b_post","profession","professional_driver_types",310,310,0,6,304,1.935483870967742,98.06451612903226
"qwen3_8b_post","profession","railway_industry_occupations",685,685,0,22,663,3.2116788321167884,96.78832116788321
"qwen3_8b_post","profession","scientific_occupations",4120,4120,0,142,3978,3.4466019417475726,96.55339805825243
"qwen3_8b_post","profession","sewing_occupations",4150,4150,0,155,3995,3.7349397590361444,96.26506024096386
"qwen3_8b_post","profession","theatre_personnel",4210,4210,0,159,4051,3.776722090261283,96.22327790973871
"qwen3_8b_post","profession","writing_occupations",2105,2105,0,102,2003,4.845605700712589,95.15439429928742
"qwen3_8b_post","race","African_Americans",9270,9270,0,33,9237,0.3559870550161812,99.64401294498381
"qwen3_8b_post","race","Asian_Americans",4305,4305,0,39,4266,0.9059233449477352,99.09407665505226
