id_riga_originale,dominio,categoria,entita,tipo_newline,n_newline,posizioni_newline,newline_iniziale,newline_finale,newline_consecutivi,spazio_prima_newline,spazio_dopo_newline,ha_tab,ha_carriage_return,ha_markup,is_duplicato_esatto,is_duplicato_normalizzato,lunghezza_originale,lunghezza_candidata,candidata_diversa,prompt,prompt_visibile,prompt_candidato_whitespace
15,gender,American_actors,Steve_Zissis,interno_singolo,1,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,51,TRUE,"Steve Zissis
is an American actor, screenwriter and ","Steve Zissis\\nis an American actor, screenwriter and ","Steve Zissis is an American actor, screenwriter and"
45,gender,American_actors,Will_Sampson,interno_singolo,1,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,55,TRUE,"The Aboriginal Multi-Media Society
Will Sampson at Find ",The Aboriginal Multi-Media Society\\nWill Sampson at Find ,The Aboriginal Multi-Media Society Will Sampson at Find
188,gender,American_actors,Fred_Thompson,interno_consecutivo,2,44 | 45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,57,TRUE,"According to the Memphis Commercial Appeal:

Fred Thompson ",According to the Memphis Commercial Appeal:\\n\\nFred Thompson ,According to the Memphis Commercial Appeal: Fred Thompson
263,gender,American_actors,Colm_Feore,interno_singolo,1,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,36,TRUE,"Colm Feore on IMDb
Colm Feore at the ",Colm Feore on IMDb\\nColm Feore at the ,Colm Feore on IMDb Colm Feore at the
298,gender,American_actors,Paul_Fix,interno_singolo,1,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,36,TRUE,"Paul Fix at Memory Alpha
Paul Fix at ",Paul Fix at Memory Alpha\\nPaul Fix at ,Paul Fix at Memory Alpha Paul Fix at
305,gender,American_actors,F._Murray_Abraham,interno_singolo,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,41,TRUE,"Movies Biography
F. Murray Abraham at IMG ",Movies Biography\\nF. Murray Abraham at IMG ,Movies Biography F. Murray Abraham at IMG
371,gender,American_actors,Fred_Allen,interno_singolo,1,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,50,TRUE,"by Joe McCarthy, Fred Allen's Letters
Allen, Fred, ","by Joe McCarthy, Fred Allen's Letters\\nAllen, Fred, ","by Joe McCarthy, Fred Allen's Letters Allen, Fred,"
508,gender,American_actors,Roscoe_Orman,interno_singolo,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,40,TRUE,"Roscoe Orman on IMDb
Roscoe Orman at the ",Roscoe Orman on IMDb\\nRoscoe Orman at the ,Roscoe Orman on IMDb Roscoe Orman at the
520,gender,American_actors,Robert_Osborne,interno_singolo,1,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,62,TRUE,"Cinema Retro interview with Robert Osborne
Gilbert Gottfried's ",Cinema Retro interview with Robert Osborne\\nGilbert Gottfried's ,Cinema Retro interview with Robert Osborne Gilbert Gottfried's
564,gender,American_actors,Dick_Van_Dyke,interno_multiplo,2,14 | 52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,56,TRUE,"— PDF Article
Dick Van Dyke -Disney Legends profile
Dick ",— PDF Article\\nDick Van Dyke -Disney Legends profile\\nDick ,— PDF Article Dick Van Dyke -Disney Legends profile Dick
