pilot_row_id,entity,label,start_char,end_char,replaced_in_preview
1,Michael Zarnock,PERSON,0,15,True
1,American,NORP,22,30,False
1,10,CARDINAL,41,43,False
1,3,CARDINAL,52,53,False
1,2,CARDINAL,68,69,False
1,Baltimore,GPE,169,178,False
2,Terrance Zdunich,PERSON,0,16,True
2,American,NORP,24,32,False
2,New York,GPE,62,70,False
2,Iowa,GPE,102,106,False
2,first,ORDINAL,120,125,False
2,2004,DATE,156,160,False
2,California,GPE,173,183,False
2,a year,DATE,194,200,False
2,Los Angeles,GPE,204,215,False
3,Michael Zorek,PERSON,0,13,True
3,American,NORP,20,28,False
3,65,CARDINAL,38,40,False
3,the spring of 2007,DATE,108,126,False
3,Michael,PERSON,127,134,True
3,first,ORDINAL,157,162,False
4,Albert Zugsmith,PERSON,0,15,True
4,American,NORP,23,31,False
4,Paramount Pictures,ORG,67,85,False
4,first,ORDINAL,111,116,False
4,Columbia Pictures,ORG,168,185,False
4,New York,GPE,200,208,False
5,Jack Sahakian,PERSON,0,13,True
5,age 64 of 16 years,DATE,22,40,False
5,1976,DATE,75,79,False
5,22 years of age,DATE,84,99,False
5,5.5 feet,QUANTITY,104,112,False
5,first,ORDINAL,134,139,False
5,7,MONEY,150,151,False
6,Marco Sanchez,PERSON,0,13,True
6,American,NORP,20,28,False
6,New York City,GPE,81,94,False
6,Marco Sanchez,PERSON,96,109,True
6,Paramount,ORG,235,244,False
7,Otto Sanchez,PERSON,0,12,True
7,American,NORP,19,27,False
7,Rafe Hernandez,PERSON,62,76,True
7,All My Children,WORK_OF_ART,95,110,False
7,2012,DATE,152,156,False
7,Your Love 	Adam,WORK_OF_ART,161,176,False
8,Merlin Santana,PERSON,0,14,True
8,American,NORP,22,30,False
8,1970s-80s,CARDINAL,41,50,False
8,Merlin Santana,PERSON,77,91,True
8,"October 7, 1952",DATE,104,119,False
8,Washington DC,GPE,123,136,False
8,December,DATE,149,157,False
9,Gailard Sartain,PERSON,0,15,True
9,American,NORP,22,30,False
9,American,NORP,73,81,False
9,"April 2, 1973",DATE,121,134,False
9,"September 17, 1981",DATE,139,157,False
9,September,DATE,174,183,False
10,Daniel Joseph Schafer,PERSON,0,21,True
10,American,NORP,28,36,False
10,Daniel,PERSON,145,151,True
10,Daniel,PERSON,223,229,True
11,Paul Schoeffler,PERSON,0,15,True
11,Canadian,NORP,21,29,False
11,three,CARDINAL,91,96,False
11,South,LOC,129,134,False
11,Mountie,ORG,185,192,False
11,Calgary,GPE,204,211,False
12,Ralph Taeger,PERSON,0,12,True
12,American,NORP,20,28,False
12,Sarnoff,PERSON,67,74,True
12,Sarnoff Racing,PERSON,101,115,True
12,Star Trek Beyond,WORK_OF_ART,124,140,False
12,195,CARDINAL,195,198,False
13,Faran Tahir,PERSON,0,11,True
13,Pakistan,GPE,23,31,False
13,2009,DATE,81,85,False
13,first,ORDINAL,98,103,False
13,Shumaila Haider,PERSON,126,141,True
13,Shamaan,WORK_OF_ART,158,165,False
