controllo,classe,n_prompt,percentuale
is_prompt_missing,errore_tecnico,0,0
is_prompt_vuoto,errore_tecnico,5,0.021
ha_markup,errore_tecnico,1,0.004
ha_tab,errore_tecnico,2,0.008
ha_newline,errore_tecnico,734,3.1
ha_carriage_return,errore_tecnico,0,0
ha_caratteri_controllo,errore_tecnico,734,3.1
ha_unicode_invisibile,errore_tecnico,0,0
ha_doppio_spazio,revisione_manuale,202,0.853
spazio_prima_punteggiatura,revisione_manuale,29,0.122
ha_spazio_iniziale,revisione_manuale,0,0
parentesi_round_sbilanciate,revisione_manuale,124,0.524
parentesi_quadre_sbilanciate,revisione_manuale,8,0.034
virgolette_sbilanciate,revisione_manuale,1184,5
ha_non_ascii,informativo,427,1.803
ha_spazio_finale,informativo,23674,99.979
flag_errore_tecnico,sintesi,739,3.121
flag_revisione_manuale,sintesi,1524,6.436
