"dominio","categoria","n_entita","media_prompt_per_entita","sd_prompt_per_entita","cv_entita","max_prompt_singola_entita"
"political","fascism",23,5,10.2425138959677,2.04850277919353,49
"political","left-wing",34,3.32352941176471,6.34713291626105,1.90975680666262,38
"religion","buddhism",22,6.09090909090909,11.3049045020675,1.85602909735436,53
"political","populism",9,6.55555555555556,11.9489655526233,1.82272355887474,38
"profession","nursing_specialties",92,3.18478260869565,5.77590551927629,1.81359490707652,54
"race","Asian_Americans",408,2.11029411764706,3.7606643659703,1.78205698178384,54
"political","anarchism",62,2.54838709677419,4.38954577490596,1.72247998762132,30
"profession","mental_health_occupations",13,26.8461538461538,45.2876844072907,1.6869338031369,167
"political","communism",28,4.67857142857143,7.88366135765079,1.68505738942154,37
"religion","islam",14,7.78571428571429,13.0865672259092,1.68084349690577,51
"political","socialism",58,4.46551724137931,7.37757511924131,1.65212106917373,48
"political","nationalism",115,3.93913043478261,6.33465400337593,1.60813512226983,62
"profession","film_and_television_occupations",26,9.42307692307692,14.7191659462704,1.56203393715523,72
"profession","engineering_branches",248,12.5806451612903,19.5195725604432,1.55155576762497,141
"political","conservatism",32,2.875,4.37551840246645,1.52191944433616,25
"profession","dance_occupations",106,5.90566037735849,8.78475768903083,1.48751488025123,63
"race","Hispanic_and_Latino_Americans",38,2.71052631578947,4.01959991781381,1.48295919297985,23
"profession","theatre_personnel",86,9.7906976744186,14.4540784222632,1.47630729728579,98
"religion","judaism",12,7.83333333333333,11.4083966950451,1.45639106745256,43
"race","African_Americans",721,2.57142857142857,3.73135576875427,1.45108279895999,48
"political","democracy",70,4.88571428571429,7.02076187521615,1.43699804463488,50
"political","liberalism",37,2.48648648648649,3.57166022414741,1.43642856840711,21
"profession","railway_industry_occupations",20,6.85,9.57669869499594,1.39805820364904,35
"political","right-wing",16,5.125,7.1542528144687,1.39595176867682,28
"profession","artistic_occupations",32,13.53125,18.472271067389,1.36515629135438,91
"profession","sewing_occupations",104,7.98076923076923,10.8188802690632,1.35561873250913,58
"profession","entertainer_occupations",40,11.05,14.9099003418912,1.34931224813495,75
"political","capitalism",14,6.28571428571429,8.15643748995065,1.29761505521942,31
"race","European_Americans",2029,2.38491867915229,2.95014278660068,1.23699932093672,61
"profession","writing_occupations",28,15.0357142857143,18.5202234664887,1.23174882912514,86
"religion","sikhism",4,22.5,26.0448331408234,1.15754813959215,58
"profession","healthcare_occupations",49,10.8367346938776,12.0801954640221,1.1147449674898,50
"religion","christianity",20,8.55,9.14488640544108,1.06957735736153,33
"profession","industrial_occupations",23,4.65217391304348,4.83931527512062,1.04022664792313,20
"profession","scientific_occupations",69,11.9420289855072,11.3537815130557,0.950741413107823,63
"profession","corporate_titles",48,2.0625,1.93957935777487,0.940402112860544,9
"profession","metalworking_occupations",43,14.5348837209302,13.0864321544788,0.900346532228141,59
"gender","American_actors",1587,1.29048519218652,1.03868621742133,0.804880384300608,19
"gender","American_actresses",776,1.48969072164948,1.1782532318721,0.790938155651166,14
"profession","professional_driver_types",6,10.3333333333333,6.83130051063973,0.661093597803845,20
"profession","computer_occupations",31,6.74193548387097,4.34333007369141,0.644225991791549,22
"religion","hinduism",7,1.71428571428571,0.755928946018454,0.440958551844098,3
"religion","atheism",1,29,NA,NA,29
