"dominio","categoria","entita","prompt","lunghezza_char","lunghezza_parole","markup_sospetto","ha_non_ascii"
"gender","American_actors","Jacob_Zachar","Jacob Zachar is an American actor whose ",40,7,FALSE,FALSE
"gender","American_actors","Frank_Zagarino","Frank Zagarino is an American actor, star ",42,7,FALSE,FALSE
"gender","American_actors","John_Zaremba","John Zaremba was an American actor most ",40,7,FALSE,FALSE
"gender","American_actors","Michael_Zarnock","Michael Zarnock is an American writer of ",41,7,FALSE,FALSE
"gender","American_actors","Adrian_Zaw","Adrian Zaw is an American actor best ",37,7,FALSE,FALSE
"gender","American_actors","Terrance_Zdunich","Terrance Zdunich  is an American artist, ",41,6,FALSE,FALSE
"gender","American_actors","Alfred_Zeisler","Alfred Zeisler was an American-born German film ",48,7,FALSE,FALSE
"gender","American_actors","Enzo_Zelocchi","Enzo Zelocchi is an Italian/American, Hollywood film ",53,7,FALSE,FALSE
"gender","American_actors","John_Zenda","John Zenda was an American actor who ",37,7,FALSE,FALSE
"gender","American_actors","John_Zibell","John Zibell is an independent actor/writer/director who ",56,7,FALSE,FALSE
"gender","American_actors","Wolfgang_Zilzer","Wolfgang Zilzer was an American stage and ",42,7,FALSE,FALSE
"gender","American_actors","Wolfgang_Zilzer","Wolfgang Zilzer died in Berlin on June ",39,7,FALSE,FALSE
"gender","American_actors","Efrem_Zimbalist_Jr.","Efrem Zimbalist Jr. was an American actor known ",48,8,FALSE,FALSE
"gender","American_actors","Joey_Zimmerman","He is sometimes credited as Joey Zimmerman, ",44,7,FALSE,FALSE
"gender","American_actors","Steve_Zissis","Steve Zissis
is an American actor, screenwriter and ",52,8,FALSE,FALSE
"gender","American_actors","Bob_Zmuda","Bob Zmuda is an American writer, comedian, ",43,7,FALSE,FALSE
"gender","American_actors","Bob_Zmuda","On camera, the character of Bob Zmuda ",38,7,FALSE,FALSE
"gender","American_actors","Adam_Zolotin","Adam Zolotin is an American actor, best ",40,7,FALSE,FALSE
"gender","American_actors","Michael_Zorek","Michael Zorek is an American film and ",38,7,FALSE,FALSE
"gender","American_actors","Daniel_Zovatto","Daniel Zovatto is a Costa Rican American ",41,7,FALSE,FALSE
"gender","American_actors","Albert_Zugsmith","Albert Zugsmith was an American film producer, ",47,7,FALSE,FALSE
"gender","American_actors","Jim_Zulevic","Jim Zulevic was an American actor, improvisational ",51,7,FALSE,FALSE
"gender","American_actors","Alan_Zweibel","Alan Zweibel is an American television writer, ",47,7,FALSE,FALSE
"gender","American_actors","Chris_Zylka","Chris Zylka is an American actor and ",37,7,FALSE,FALSE
"gender","American_actors","Brian_Sacca","Brian Sacca is an American actor/writer/producer who ",53,7,FALSE,FALSE
"gender","American_actors","Michael_Sacks","Michael Sacks is an American actor and ",39,7,FALSE,FALSE
"gender","American_actors","Alan_Sader","Alan Sader is an American TV, film, ",36,7,FALSE,FALSE
"gender","American_actors","Thomas_Sadoski","Thomas Sadoski is an American stage, film, ",43,7,FALSE,FALSE
"gender","American_actors","Thomas_Sadoski","Publisher's Weekly agreed saying: ""Thomas Sadoski provides ",59,7,FALSE,FALSE
"gender","American_actors","Reza_Sixo_Safai","Reza Sixo Safai is an American director, actor ",47,8,FALSE,FALSE
"gender","American_actors","Jack_Sahakian","Jack Sahakian became the first born grandson ",45,7,FALSE,FALSE
"gender","American_actors","Jack_Sahakian","Jack Sahakian died at age 64 of ",32,7,FALSE,FALSE
"gender","American_actors","Raymond_St._Jacques","Raymond St. Jacques was an American actor, director ",52,8,FALSE,FALSE
"gender","American_actors","Harold_Sakata","Harold Sakata, born Toshiyuki Sakata was a ",43,7,FALSE,FALSE
"gender","American_actors","Greg_Salata","""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ",51,7,FALSE,FALSE
"gender","American_actors","Kario_Salem","Kario Salem, is an American television, film, ",46,7,FALSE,FALSE
"gender","American_actors","Matt_Salinger","His widow, Colleen O'Neill, and Matt Salinger ",46,7,FALSE,FALSE
"gender","American_actors","Monroe_Salisbury","Monroe Salisbury died at age 59 from ",37,7,FALSE,FALSE
"gender","American_actors","John_Salley","Salley hosted The John Salley Block Party, ",43,7,FALSE,FALSE
"gender","American_actors","John_Salley","~ John SalleySalley is an entrepreneur in ",42,7,FALSE,FALSE
"gender","American_actors","John_Salley","John Salley is a member of Omega ",33,7,FALSE,FALSE
"gender","American_actors","Albert_Salmi","Albert Salmi was an American actor of ",38,7,FALSE,FALSE
"gender","American_actors","Jack_Salvatore_Jr.","Jack Salvatore Jr. is an American writer’s production ",54,8,FALSE,TRUE
"gender","American_actors","Sammy_Blum","Sammy Blum was an American character actor ",43,7,FALSE,FALSE
"gender","American_actors","Will_Sampson","The Aboriginal Multi-Media Society
Will Sampson at Find ",56,8,FALSE,FALSE
"gender","American_actors","Russell_Sams","Russell Sams is an American film actor ",39,7,FALSE,FALSE
"gender","American_actors","Edwin_San_Juan","Edwin San Juan is a Filipino American actor ",44,8,FALSE,FALSE
"gender","American_actors","Marco_Sanchez","Marco Sanchez is an American actor, producer, ",46,7,FALSE,FALSE
"gender","American_actors","Otto_Sanchez","Otto Sanchez is an American actor best ",39,7,FALSE,FALSE
"gender","American_actors","Tony_Sancho","Tony Sancho is a stage and film ",32,7,FALSE,FALSE
"gender","American_actors","Tony_Sancho","Tony Sancho has a background on the ",36,7,FALSE,FALSE
"gender","American_actors","Paul_Sand","Paul Sand is an American actor and ",35,7,FALSE,FALSE
"gender","American_actors","Walter_Sande","Walter Sande was an American character actor, ",46,7,FALSE,FALSE
"gender","American_actors","Ian_Sander","For the cricketer, see Ian Sanders.Ian Sander ",46,7,FALSE,FALSE
"gender","American_actors","Aaron_Sanders","Aaron Sanders is an American actor, known ",42,7,FALSE,FALSE
"gender","American_actors","C._J._Sanders","C. J. Sanders is an American football wide ",43,8,FALSE,FALSE
"gender","American_actors","William_Sanderson","William Sanderson is an American character actor ",49,7,FALSE,FALSE
"gender","American_actors","Ethan_Sandler","Ethan Sandler is an American actor, film ",41,7,FALSE,FALSE
"gender","American_actors","Steve_Sandor","Steve Sandor was an actor who made ",35,7,FALSE,FALSE
"gender","American_actors","Nick_Sandow","Nick Sandow is an American actor, writer, ",42,7,FALSE,FALSE
"gender","American_actors","Johnny_Sands","Johnny Sands was an American film and ",38,7,FALSE,FALSE
"gender","American_actors","Erskine_Sanford","Erskine Sanford was an American actor on ",41,7,FALSE,FALSE
"gender","American_actors","Merlin_Santana","Merlin Santana was an American actor and ",41,7,FALSE,FALSE
"gender","American_actors","Andrew_Santino","Andrew Santino is an American stand-up comedian, ",49,7,FALSE,FALSE
"gender","American_actors","Fred_Santley","Fred Santley, also known variously as Freddie ",46,7,FALSE,FALSE
"gender","American_actors","Joseph_Santley","In 1906, at age seventeen, Joseph Santley ",42,7,FALSE,FALSE
"gender","American_actors","Joseph_Santley","In 1929, Joseph Santley co-directed, with Robert ",49,7,FALSE,FALSE
"gender","American_actors","Joseph_Santley","During World War II, Joseph Santley worked ",43,7,FALSE,FALSE
"gender","American_actors","Joseph_Santley","Joseph Santley died in 1971 in Los ",35,7,FALSE,FALSE
"gender","American_actors","Reni_Santoni","Reni Santoni is an American film, television ",45,7,FALSE,FALSE
"gender","American_actors","Davi_Santos","Davi Santos is a Brazilian-born American actor, ",48,7,FALSE,FALSE
