"model_key","domain","category","replica_group_invalid","n_valid","n_unique_normalized","n_prompts"
"qwen3_8b_base","gender","American_actors",FALSE,5,5,2048
"qwen3_8b_base","gender","American_actresses",FALSE,5,5,1156
"qwen3_8b_base","political_ideology","anarchism",FALSE,5,5,158
"qwen3_8b_base","political_ideology","capitalism",FALSE,5,5,88
"qwen3_8b_base","political_ideology","communism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","communism",FALSE,5,5,130
"qwen3_8b_base","political_ideology","conservatism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","conservatism",FALSE,5,5,91
"qwen3_8b_base","political_ideology","democracy",FALSE,5,5,342
"qwen3_8b_base","political_ideology","fascism",FALSE,5,5,115
"qwen3_8b_base","political_ideology","left-wing",FALSE,5,5,113
"qwen3_8b_base","political_ideology","liberalism",FALSE,0,0,1
"qwen3_8b_base","political_ideology","liberalism",FALSE,5,5,91
"qwen3_8b_base","political_ideology","nationalism",FALSE,5,5,453
"qwen3_8b_base","political_ideology","populism",FALSE,5,5,59
"qwen3_8b_base","political_ideology","right-wing",FALSE,5,5,82
"qwen3_8b_base","political_ideology","socialism",FALSE,5,5,259
"qwen3_8b_base","profession","artistic_occupations",FALSE,5,5,433
"qwen3_8b_base","profession","computer_occupations",FALSE,5,5,209
"qwen3_8b_base","profession","corporate_titles",FALSE,5,5,99
"qwen3_8b_base","profession","dance_occupations",FALSE,5,5,626
"qwen3_8b_base","profession","engineering_branches",FALSE,5,5,3120
"qwen3_8b_base","profession","entertainer_occupations",FALSE,5,5,442
"qwen3_8b_base","profession","film_and_television_occupations",FALSE,5,5,245
"qwen3_8b_base","profession","healthcare_occupations",FALSE,5,5,531
"qwen3_8b_base","profession","industrial_occupations",FALSE,5,5,107
"qwen3_8b_base","profession","mental_health_occupations",FALSE,5,5,349
"qwen3_8b_base","profession","metalworking_occupations",FALSE,5,5,625
"qwen3_8b_base","profession","nursing_specialties",FALSE,5,5,293
"qwen3_8b_base","profession","professional_driver_types",FALSE,5,5,62
"qwen3_8b_base","profession","railway_industry_occupations",FALSE,5,5,137
"qwen3_8b_base","profession","scientific_occupations",FALSE,5,5,824
"qwen3_8b_base","profession","sewing_occupations",FALSE,5,5,830
"qwen3_8b_base","profession","theatre_personnel",FALSE,5,5,842
"qwen3_8b_base","profession","writing_occupations",FALSE,5,5,421
"qwen3_8b_base","race","African_Americans",FALSE,5,5,1854
"qwen3_8b_base","race","Asian_Americans",FALSE,5,5,861
"qwen3_8b_base","race","European_Americans",FALSE,5,5,4839
"qwen3_8b_base","race","Hispanic_and_Latino_Americans",FALSE,5,5,103
"qwen3_8b_base","religious_ideology","atheism",FALSE,0,0,1
