"model_key","domain","category","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_review"
"qwen3_8b_base","gender","American_actors",2048,2048,2048,0,0,0,0,0,2020,98.6328125,39.83544921875,161.119140625,2048,1,0.048828125,1,1,17,0.830078125,0,18
"qwen3_8b_base","gender","American_actresses",1156,1156,1156,0,0,0,0,0,1141,98.70242214532871,39.85640138408304,160.77595155709344,1156,0,0,0,0,18,1.5570934256055362,0,18
"qwen3_8b_base","political_ideology","anarchism",158,158,158,0,0,0,0,0,157,99.36708860759494,39.91772151898734,184.78481012658227,158,0,0,0,0,2,1.2658227848101267,0,2
"qwen3_8b_base","political_ideology","capitalism",88,88,88,0,0,0,0,0,88,100,40,196.2159090909091,88,1,1.1363636363636365,1,1,1,1.1363636363636365,0,2
"qwen3_8b_base","political_ideology","communism",131,131,130,1,0,0,0,0,127,97.6923076923077,39.723076923076924,177.13846153846154,130,0,0,0,0,4,3.076923076923077,0,4
"qwen3_8b_base","political_ideology","conservatism",92,92,91,1,0,0,0,0,90,98.9010989010989,39.967032967032964,209.42857142857142,91,0,0,0,0,1,1.098901098901099,0,1
"qwen3_8b_base","political_ideology","democracy",342,342,342,0,0,0,0,0,341,99.70760233918129,39.93567251461988,192.58479532163742,342,0,0,0,0,1,0.29239766081871343,0,1
"qwen3_8b_base","political_ideology","fascism",115,115,115,0,0,0,0,0,115,100,40,184.12173913043478,115,0,0,0,0,1,0.8695652173913043,0,1
"qwen3_8b_base","political_ideology","left-wing",113,113,113,0,0,0,0,0,111,98.23008849557522,39.584070796460175,176.2212389380531,113,0,0,0,0,2,1.7699115044247788,0,2
"qwen3_8b_base","political_ideology","liberalism",92,92,91,1,0,0,0,0,90,98.9010989010989,39.967032967032964,191.58241758241758,91,0,0,0,0,0,0,0,0
"qwen3_8b_base","political_ideology","nationalism",453,453,453,0,0,0,0,0,450,99.33774834437085,39.94260485651214,184.5673289183223,453,3,0.6622516556291391,3,3,5,1.1037527593818985,1,9
"qwen3_8b_base","political_ideology","populism",59,59,59,0,0,0,0,0,59,100,40,181.72881355932202,59,0,0,0,0,0,0,0,0
"qwen3_8b_base","political_ideology","right-wing",82,82,82,0,0,0,0,0,82,100,40,184.71951219512195,82,0,0,0,0,1,1.2195121951219512,0,1
"qwen3_8b_base","political_ideology","socialism",259,259,259,0,0,0,0,0,255,98.45559845559846,39.77220077220077,187.66795366795367,259,0,0,0,0,3,1.1583011583011582,0,3
"qwen3_8b_base","profession","artistic_occupations",433,433,433,0,0,0,0,0,426,98.38337182448036,39.801385681293304,182.2933025404157,433,1,0.23094688221709006,1,1,6,1.3856812933025404,0,7
"qwen3_8b_base","profession","computer_occupations",209,209,209,0,0,0,0,0,207,99.04306220095694,39.84688995215311,206.05263157894737,209,0,0,0,0,1,0.4784688995215311,0,1
"qwen3_8b_base","profession","dance_occupations",626,626,626,0,0,0,0,0,618,98.7220447284345,39.79392971246006,174.87539936102237,626,0,0,0,0,5,0.7987220447284344,0,5
"qwen3_8b_base","profession","engineering_branches",3120,3120,3120,0,0,0,0,0,3068,98.33333333333333,39.82211538461539,187.80576923076924,3120,0,0,0,0,26,0.8333333333333334,1,27
"qwen3_8b_base","profession","entertainer_occupations",442,442,442,0,0,0,0,0,436,98.64253393665159,39.755656108597286,174.67420814479638,442,6,1.3574660633484164,6,6,4,0.904977375565611,2,12
"qwen3_8b_base","profession","film_and_television_occupations",245,245,245,0,0,0,0,0,241,98.36734693877551,39.82857142857143,182.51020408163265,245,0,0,0,0,8,3.2653061224489797,0,8
"qwen3_8b_base","profession","healthcare_occupations",531,531,531,0,0,0,0,0,527,99.2467043314501,39.888888888888886,192.27118644067798,531,0,0,0,0,2,0.3766478342749529,0,2
"qwen3_8b_base","profession","mental_health_occupations",349,349,349,0,0,0,0,0,347,99.42693409742121,39.948424068767906,195.2406876790831,349,0,0,0,0,7,2.005730659025788,0,7
"qwen3_8b_base","profession","metalworking_occupations",625,625,625,0,0,0,0,0,624,99.83999999999999,39.9888,185.2752,625,0,0,0,0,3,0.48,0,3
"qwen3_8b_base","profession","nursing_specialties",293,293,293,0,0,0,0,0,292,99.65870307167235,39.93515358361775,193.7542662116041,293,0,0,0,0,2,0.6825938566552902,0,2
"qwen3_8b_base","profession","professional_driver_types",62,62,62,0,0,0,0,0,60,96.7741935483871,39.45161290322581,169.33870967741936,62,0,0,0,0,1,1.6129032258064515,0,1
"qwen3_8b_base","profession","scientific_occupations",824,824,824,0,0,0,0,0,815,98.90776699029125,39.83252427184466,191.41626213592232,824,0,0,0,0,8,0.9708737864077669,0,8
"qwen3_8b_base","profession","sewing_occupations",830,830,830,0,0,0,0,0,814,98.0722891566265,39.69879518072289,172.15180722891566,830,0,0,0,0,3,0.3614457831325301,0,3
"qwen3_8b_base","profession","theatre_personnel",122,122,122,0,0,0,0,0,119,97.54098360655738,39.83606557377049,189.97540983606558,122,0,0,0,0,0,0,0,0
"qwen3_8b_base","profession","writing_occupations",421,421,421,0,0,0,0,0,417,99.04988123515439,39.9144893111639,182.04513064133016,421,2,0.4750593824228029,2,2,10,2.375296912114014,0,12
