dominio,categoria,entita,prompt,ha_doppio_spazio,spazio_prima_punteggiatura,ha_spazio_iniziale,parentesi_round_sbilanciate,parentesi_quadre_sbilanciate,virgolette_sbilanciate
gender,American_actors,Terrance_Zdunich,"Terrance Zdunich  is an American artist, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Thomas_Sadoski,"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Greg_Salata,"""Jeffrey Hawkins, James Murtaugh, Greg Salata Cast ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Peter_Sarsgaard,"""Q&A - Peter Sarsgaard Caught in Orphan's ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jimmy_Savo,"""Jimmy Savo; di Famiglia Lucana originaria di ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jay_Tavare,Jay Tavare  is an American actor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Jonathan_Terry,Jonathan Terry  is a television and ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Robin_Thicke,"""At the age of 14, Robin Thicke ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Russell_Thorson,Delos Russell Thorson  was an American ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Richard_Farnsworth,"""Richard Farnsworth, Stunt Man And 2-Time Oscar ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Jonathan_Farwell,"Jonathan Farwell is an  American film, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Edward_Faulkner,Edward Faulkner  is an American film ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Sean_Patrick_Flanery,"Sean Patrick Flanery  is an American actor, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Patrick_Adiarte,Patrick Adiarte is a Filipino-born American  ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gender,American_actors,Antony_Alda,"""Antony Alda finished his high school studies ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
gender,American_actors,Fred_Allen,")A comedy series, Fred Allen's Sketchbook, did ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
gender,American_actors,Philip_Baker_Hall,Philip Baker Hall  is an American film ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
