id_riga_originale,dominio,categoria,entita,tipo_newline,n_newline,posizioni_newline,prompt,prompt_visibile,prompt_candidato_whitespace
564,gender,American_actors,Dick_Van_Dyke,interno_multiplo,2,14 | 52,"— PDF Article
Dick Van Dyke -Disney Legends profile
Dick ",— PDF Article\\nDick Van Dyke -Disney Legends profile\\nDick ,— PDF Article Dick Van Dyke -Disney Legends profile Dick
594,gender,American_actors,Reginald_VelJohnson,interno_multiplo,2,3 | 57,"TV
Reginald VelJohnson at the Internet Broadway Database
Reginald ",TV\\nReginald VelJohnson at the Internet Broadway Database\\nReginald ,TV Reginald VelJohnson at the Internet Broadway Database Reginald
628,gender,American_actors,Robert_Wagner,interno_multiplo,2,7 | 39,"Movies
Robert Wagner   on Charlie Rose
Works ",Movies\\nRobert Wagner   on Charlie Rose\\nWorks ,Movies Robert Wagner on Charlie Rose Works
740,gender,American_actors,Dan_Resin,interno_multiplo,3,11 | 30 | 45,"on YouTube
Dan Resin obituary
Review of Hail
Dan Resin ",on YouTube\\nDan Resin obituary\\nReview of Hail\\nDan Resin ,on YouTube Dan Resin obituary Review of Hail Dan Resin
849,gender,American_actors,Harry_Northup,interno_multiplo,2,15 | 26,"Cahuenga Press
Bio Sketch
Video of Harry Northup reading ",Cahuenga Press\\nBio Sketch\\nVideo of Harry Northup reading ,Cahuenga Press Bio Sketch Video of Harry Northup reading
879,gender,American_actors,Mark_Indelicato,interno_multiplo,2,24 | 44,"Mark Indelicato on IMDb
From Broadway World
BroadwayWorld.com interview ",Mark Indelicato on IMDb\\nFrom Broadway World\\nBroadwayWorld.com interview ,Mark Indelicato on IMDb From Broadway World BroadwayWorld.com interview
1520,gender,American_actors,J._T._Walsh,interno_multiplo,3,17 | 41 | 61,"Walsh since 1998
J. T. Walsh at AllMovie
Bubblegun interview
J. T. Walsh ",Walsh since 1998\\nJ. T. Walsh at AllMovie\\nBubblegun interview\\nJ. T. Walsh ,Walsh since 1998 J. T. Walsh at AllMovie Bubblegun interview J. T. Walsh
1796,gender,American_actors,Aasif_Mandvi,interno_multiplo,2,21 | 45,"Aasif Mandvi on IMDb
Aasif Mandvi on Twitter
""A ","Aasif Mandvi on IMDb\\nAasif Mandvi on Twitter\\n""A ","Aasif Mandvi on IMDb Aasif Mandvi on Twitter ""A"
1898,gender,American_actors,Sammy_Davis_Jr.,interno_multiplo,2,7 | 39,"(1965)
The Sammy Davis Jr. Show – Host
Alice In ",(1965)\\nThe Sammy Davis Jr. Show – Host\\nAlice In ,(1965) The Sammy Davis Jr. Show – Host Alice In
2135,gender,American_actresses,Karen_Black,interno_multiplo,2,11 | 40,"movie site
Podcast interview March 2007
Karen Black — ",movie site\\nPodcast interview March 2007\\nKaren Black — ,movie site Podcast interview March 2007 Karen Black —
2359,gender,American_actresses,Lola_Falana,interno_multiplo,2,11 | 31,"on YouTube
Lola Falana on IMDb
Lola Falana at ",on YouTube\\nLola Falana on IMDb\\nLola Falana at ,on YouTube Lola Falana on IMDb Lola Falana at
2927,gender,American_actresses,Diana_Ross,interno_multiplo,2,13 | 50,"(TV Special)
Motown 25: Yesterday, Today, Forever
Diana Ross: ","(TV Special)\\nMotown 25: Yesterday, Today, Forever\\nDiana Ross: ","(TV Special) Motown 25: Yesterday, Today, Forever Diana Ross:"
2935,gender,American_actresses,Jeri_Ryan,interno_multiplo,2,21 | 55,"BBC Online interview
Jeri Ryan Biography, Startrek.com
Ortolan ","BBC Online interview\\nJeri Ryan Biography, Startrek.com\\nOrtolan ","BBC Online interview Jeri Ryan Biography, Startrek.com Ortolan"
