"dominio","categoria","n_prompt"
"gender","American_actors",2048
"gender","American_actresses",1156
"political","nationalism",453
"political","democracy",342
"political","socialism",259
"political","anarchism",158
"political","communism",131
"political","fascism",115
"political","left-wing",113
"political","conservatism",92
"political","liberalism",92
"political","capitalism",88
"political","right-wing",82
"political","populism",59
"profession","engineering_branches",3120
"profession","theatre_personnel",842
"profession","sewing_occupations",830
"profession","scientific_occupations",824
"profession","dance_occupations",626
"profession","metalworking_occupations",625
"profession","healthcare_occupations",531
"profession","entertainer_occupations",442
"profession","artistic_occupations",433
"profession","writing_occupations",421
"profession","mental_health_occupations",349
"profession","nursing_specialties",293
"profession","film_and_television_occupations",245
"profession","computer_occupations",209
"profession","railway_industry_occupations",137
"profession","industrial_occupations",107
"profession","corporate_titles",99
"profession","professional_driver_types",62
"race","European_Americans",4839
"race","African_Americans",1854
"race","Asian_Americans",861
"race","Hispanic_and_Latino_Americans",103
"religion","christianity",171
"religion","buddhism",134
"religion","islam",109
"religion","judaism",94
"religion","sikhism",90
"religion","atheism",29
"religion","hinduism",12
