"dominio","categoria","entita","n_prompt_entita"
"gender","American_actors","Aaron_Eckhart",1
"gender","American_actors","Aaron_Lazar",1
"gender","American_actors","Aaron_Norris",1
"gender","American_actors","Aaron_Sanders",1
"gender","American_actors","Aaron_Schoenke",2
"gender","American_actors","Aasif_Mandvi",2
"gender","American_actors","Abe_Vigoda",2
"gender","American_actors","Abner_Genece",1
"gender","American_actors","Adam_Baldwin",1
"gender","American_actors","Adam_Carolla",9
"gender","American_actors","Adam_Ferrara",1
"gender","American_actors","Adam_Kantor",1
"gender","American_actors","Adam_Kassen",1
"gender","American_actors","Adam_LaVorgna",1
"gender","American_actors","Adam_Zolotin",1
"gender","American_actors","Adrian_Zaw",1
"gender","American_actors","Ahmed_Ahmed",2
"gender","American_actors","Aidan_Quinn",1
"gender","American_actors","Al_Bandiero",1
"gender","American_actors","Al_Ferguson",1
"gender","American_actors","Al_Israel",1
"gender","American_actors","Al_Jolson",2
"gender","American_actors","Al_Sapienza",1
"gender","American_actors","Alan_Aisenberg",1
"gender","American_actors","Alan_Alda",1
"gender","American_actors","Alan_Carney",4
"gender","American_actors","Alan_Gifford",1
"gender","American_actors","Alan_Ladd",3
"gender","American_actors","Alan_Landers",1
"gender","American_actors","Alan_Oppenheimer",1
"gender","American_actors","Alan_Ormsby",1
"gender","American_actors","Alan_Reed",1
"gender","American_actors","Alan_Sader",1
"gender","American_actors","Alan_Young",2
"gender","American_actors","Alan_Zweibel",1
"gender","American_actors","Albert_MacQuarrie",1
"gender","American_actors","Albert_Macklin",1
"gender","American_actors","Albert_Paulsen",1
"gender","American_actors","Albert_Ray",1
"gender","American_actors","Albert_Salmi",1
"gender","American_actors","Albert_Zugsmith",1
"gender","American_actors","Aldo_Ray",3
"gender","American_actors","Alec_Rayme",1
"gender","American_actors","Alejandro_Patino",1
"gender","American_actors","Alex_Karras",1
"gender","American_actors","Alex_Kendrick",2
"gender","American_actors","Alex_Nicol",1
"gender","American_actors","Alex_Reymundo",1
"gender","American_actors","Alex_Veadov",3
"gender","American_actors","Alexander_Carr",1
"gender","American_actors","Alfred_Zeisler",1
"gender","American_actors","Allen_Danziger",1
"gender","American_actors","Allen_Evangelista",1
"gender","American_actors","Allen_Garfield",1
"gender","American_actors","Allen_Payne",1
"gender","American_actors","Alvin_Epstein",1
"gender","American_actors","Alvin_Ing",1
"gender","American_actors","Amaury_Nolasco",2
"gender","American_actors","Andersen_Gabrych",1
"gender","American_actors","Andras_Jones",1
"gender","American_actors","Andrew_J._Lederer",1
"gender","American_actors","Andrew_Keegan",1
"gender","American_actors","Andrew_Lauer",1
"gender","American_actors","Andrew_Santino",1
"gender","American_actors","Andy_Karl",1
"gender","American_actors","Andy_Kaufman",4
"gender","American_actors","Angel_Oquendo",1
"gender","American_actors","Angus_T._Jones",1
"gender","American_actors","Ansel_Elgort",1
"gender","American_actors","Anthony_Addabbo",1
"gender","American_actors","Anthony_Anderson",1
"gender","American_actors","Anthony_Barrile",1
"gender","American_actors","Anthony_De_La_Torre",1
"gender","American_actors","Anthony_Eisley",1
"gender","American_actors","Anthony_George",1
"gender","American_actors","Anthony_Mackie",1
"gender","American_actors","Anthony_Mann",1
"gender","American_actors","Anthony_Marciona",1
"gender","American_actors","Anthony_Natale",1
"gender","American_actors","Anthony_Peck",1
"gender","American_actors","Anthony_Quinn",1
"gender","American_actors","Anthony_Tyler_Quinn",1
"gender","American_actors","Anthony_Warde",1
"gender","American_actors","Antonio_Macia",1
"gender","American_actors","Antony_Alda",2
"gender","American_actors","Antony_Carbone",1
"gender","American_actors","Arch_Hall_Jr.",1
"gender","American_actors","Aron_Eisenberg",1
"gender","American_actors","Arthur_Edmund_Carewe",1
"gender","American_actors","Arthur_Haggerty",2
"gender","American_actors","Arthur_J._Nascarella",1
"gender","American_actors","Arthur_Kennedy",1
"gender","American_actors","Arthur_L._Jarrett",1
"gender","American_actors","Arthur_Redcloud",1
"gender","American_actors","Arthur_Thalasso",1
"gender","American_actors","Artie_Ortego",1
"gender","American_actors","Arun_Vaidyanathan",1
"gender","American_actors","Arvo_Ojala",1
"gender","American_actors","Ato_Essandoh",1
"gender","American_actors","Austin_Nichols",2
"gender","American_actors","Austin_Tindle",1
"gender","American_actors","Ayad_Akhtar",1
"gender","American_actors","B._Reeves_Eason",1
"gender","American_actors","Balthazar_Getty",1
"gender","American_actors","Bao_Quach",1
"gender","American_actors","Barnet_Kellman",1
"gender","American_actors","Barry_Kelley",1
"gender","American_actors","Barry_Nelson",1
"gender","American_actors","Barry_Newman",2
"gender","American_actors","Barry_Orton",1
"gender","American_actors","Barry_Pearl",1
"gender","American_actors","Barry_Van_Dyke",3
"gender","American_actors","Beau_Weaver",1
"gender","American_actors","Ben_Bard",2
"gender","American_actors","Ben_Easter",1
"gender","American_actors","Ben_Gazzara",1
"gender","American_actors","Ben_Vereen",1
"gender","American_actors","Ben_Warheit",1
"gender","American_actors","Benjamin_Byron_Davis",1
"gender","American_actors","Benjamin_John_Parrillo",1
"gender","American_actors","Benjamin_Kanes",1
"gender","American_actors","Bennett_Joshua_Davlin",2
"gender","American_actors","Benny_Baker",1
"gender","American_actors","Benny_Bartlett",1
"gender","American_actors","Benton_Jennings",1
"gender","American_actors","Bernard_Fein",1
"gender","American_actors","Bernard_Kates",1
"gender","American_actors","Bill_Cable",1
"gender","American_actors","Bill_Hader",1
"gender","American_actors","Bill_Randolph",1
"gender","American_actors","Billy_Bob_Thornton",1
"gender","American_actors","Billy_Daniels",1
"gender","American_actors","Billy_Engle",1
"gender","American_actors","Billy_Gardell",1
"gender","American_actors","Billy_Naylor",1
"gender","American_actors","Billy_Redden",1
"gender","American_actors","Billy_Unger",1
"gender","American_actors","Billy_Warlock",1
"gender","American_actors","Blas_Elias",1
"gender","American_actors","Bob_Elkins",3
"gender","American_actors","Bob_Lazarus",1
"gender","American_actors","Bob_Newhart",3
"gender","American_actors","Bob_Nickman",1
"gender","American_actors","Bob_Nolan",1
"gender","American_actors","Bob_Sarlatte",1
"gender","American_actors","Bob_Tallman",1
"gender","American_actors","Bob_Zmuda",2
